字頭,字頭,補充,古韻,擬音,,,,
唸（唸吚）,唸,（唸吚）,侵,ɔm,,,,
墊,墊,,侵,ɔm,,,,
𩅀,𩅀,,侵,ɔm,,,,
㝪,㝪,,侵,ɔm,,,,
埝,埝,,侵,ɔm,,,,
簟,簟,,侵,ɔm,,,,
驔,驔,,侵,ɔm,,,,
坫,坫,,談,ʌm,,,,
𦒻,𦒻,,談,ʌm,,,,
㓠,㓠,,談,ʌm,,,,
阽,阽,,談,ʌm,,,,
天,天,,真,ən,,,,
沾（益也，古“添”字）,沾,（益也，古“添”字）,談,ʌm,,,,
黇,黇,,談,ʌm,,,,
酟,酟,,談,ʌm,,,,
田,田,,真,ən,,,,
佃（打獵）,佃,（打獵）,真,ən,,,,
畋,畋,,真,ən,,,,
填（塞）,填,（塞）,真,ən,,,,
窴,窴,,真,ən,,,,
闐,闐,,真,ən,,,,
磌,磌,,真,ən,,,,
鷏（鷆）,鷏,（鷆）,真,ən,,,,
嗔,嗔,,真,ən,,,,
滇（滇滇）,滇,（滇滇）,真,ən,,,,
搷,搷,,真,ən,,,,
甜,甜,,談,ʌm,,,,
恬,恬,,談,ʌm,,,,
腆,腆,,文,ɔn,,,,
淟（污濁）,淟,（污濁）,文,ɔn,,,,
錪（小釜）,錪,（小釜）,文,ɔn,,,,
㥏,㥏,,文,ɔn,,,,
琠,琠,,文,ɔn,,,,
殄,殄,,文,ɔn,,,,
跈,跈,,文,ɔn,,,,
靦,靦,,元,ʌn,,,,
忝,忝,,談,ʌm,,,,
栝（撥火棍）,栝,（撥火棍）,談,ʌm,,,,
銛（挑取）,銛,（挑取）,談,ʌm,,,,
餂,餂,,談,ʌm,,,,
瑱（以玉塞耳）,瑱,（以玉塞耳）,真,ən,,,,
秊,秊,,真,ən,,,,
年,年,,真,ən,,,,
𨛲（𨚶）,𨛲,（𨚶）,真,ən,,,,
黏,黏,,談,ʌm,,,,
䬯,䬯,,談,ʌm,,,,
鮎,鮎,,談,ʌm,,,,
拈（以指取物）,拈,（以指取物）,談,ʌm,,,,
涊,涊,,文,ɔn,,,,
𨋚,𨋚,,元,ʌn,,,,
㞋,㞋,,元,ʌn,,,,
蹍,蹍,,元,ʌn,,,,
輦,輦,,元,ʌn,,,,
鄻,鄻,,元,ʌn,,,,
撚,撚,,元,ʌn,,,,
淰（濁也）,淰,（濁也）,侵,ɔm,,,,
㜤,㜤,,侵,ɔm,,,,
㲽,㲽,,文,ɔn,,,,
廿（二十的合音）,廿,（二十的合音）,緝,ɔp,,,,
念,念,,侵,ɔm,,,,
憐,憐,,真,ən,,,,
連（連接）,連,（連接）,元,ʌn,,,,
聯,聯,,元,ʌn,,,,
漣,漣,,元,ʌn,,,,
鰱,鰱,,元,ʌn,,,,
鏈,鏈,,元,ʌn,,,,
㦁,㦁,,元,ʌn,,,,
槤（木名）,槤,（木名）,元,ʌn,,,,
𪚁,𪚁,,元,ʌn,,,,
㶌,㶌,,元,ʌn,,,,
謰,謰,,元,ʌn,,,,
蓮,蓮,,元,ʌn,,,,
廉,廉,,談,ʌm,,,,
鐮,鐮,,談,ʌm,,,,
鎌,鎌,,談,ʌm,,,,
㡘,㡘,,談,ʌm,,,,
簾,簾,,談,ʌm,,,,
薕,薕,,談,ʌm,,,,
籢,籢,,談,ʌm,,,,
鬑,鬑,,談,ʌm,,,,
覝,覝,,談,ʌm,,,,
磏,磏,,談,ʌm,,,,
螊,螊,,談,ʌm,,,,
熑,熑,,談,ʌm,,,,
溓,溓,,談,ʌm,,,,
璉,璉,,元,ʌn,,,,
僆（僆子）,僆,（僆子）,元,ʌn,,,,
槤（禮器）,槤,（禮器）,元,ʌn,,,,
連（難也）,連,（難也）,元,ʌn,,,,
斂,斂,,談,ʌm,,,,
撿（拱也）,撿,（拱也）,談,ʌm,,,,
薟,薟,,談,ʌm,,,,
蘞,蘞,,談,ʌm,,,,
䭑,䭑,,談,ʌm,,,,
練,練,,元,ʌn,,,,
鍊,鍊,,元,ʌn,,,,
楝,楝,,元,ʌn,,,,
僆（雞雛）,僆,（雞雛）,元,ʌn,,,,
萰,萰,,元,ʌn,,,,
湅,湅,,元,ʌn,,,,
𣿊,𣿊,,元,ʌn,,,,
煉,煉,,元,ʌn,,,,
欄（木名）,欄,（木名）,元,ʌn,,,,
戀,戀,,元,ʌn,,,,
孌（慕也）,孌,（慕也）,元,ʌn,,,,
鯿,鯿,,真,ən,,,,
編,編,,真,ən,,,,
甂,甂,,真,ən,,,,
蝙,蝙,,真,ən,,,,
猵（獺屬）,猵,（獺屬）,真,ən,,,,
萹,萹,,真,ən,,,,
牑,牑,,真,ən,,,,
鞭,鞭,,元,ʌn,,,,
鯾,鯾,,元,ʌn,,,,
箯,箯,,元,ʌn,,,,
邊,邊,,元,ʌn,,,,
籩,籩,,元,ʌn,,,,
䟍,䟍,,元,ʌn,,,,
砭,砭,,談,ʌm,,,,
褊,褊,,真,ən,,,,
惼,惼,,真,ən,,,,
扁（扁額）,扁,（扁額）,真,ən,,,,
辡,辡,,元,ʌn,,,,
䁵,䁵,,元,ʌn,,,,
㦚,㦚,,元,ʌn,,,,
緶（交枲也）,緶,（交枲也）,元,ʌn,,,,
貶,貶,,談,ʌm,,,,
𦥘,𦥘,,談,ʌm,,,,
窆,窆,,談,ʌm,,,,
揙,揙,,真,ən,,,,
徧,徧,,真,ən,,,,
遍,遍,,真,ən,,,,
變,變,,元,ʌn,,,,
辯,辯,,元,ʌn,,,,
辨,辨,,元,ʌn,,,,
卞,卞,,元,ʌn,,,,
拚（鼓掌）,拚,（鼓掌）,元,ʌn,,,,
抃,抃,,元,ʌn,,,,
弁,弁,,元,ʌn,,,,
汴,汴,,元,ʌn,,,,
閞,閞,,元,ʌn,,,,
昪,昪,,元,ʌn,,,,
笲,笲,,元,ʌn,,,,
汳（汴）,汳,（汴）,元,ʌn,,,,
便（利也）,便,（利也）,元,ʌn,,,,
辮,辮,,元,ʌn,,,,
篇,篇,,真,ən,,,,
偏,偏,,真,ən,,,,
翩,翩,,真,ən,,,,
媥,媥,,真,ən,,,,
㾫,㾫,,真,ən,,,,
扁（小舟）,扁,（小舟）,真,ən,,,,
鶣,鶣,,真,ən,,,,
駢,駢,,耕,əŋ,,,,
胼,胼,,耕,əŋ,,,,
骿,骿,,耕,əŋ,,,,
𪘀,𪘀,,耕,əŋ,,,,
蹁,蹁,,真,ən,,,,
楄,楄,,真,ən,,,,
諞（巧言）,諞,（巧言）,真,ən,,,,
便,便,,元,ʌn,,,,
緶（縫合）,緶,（縫合）,元,ʌn,,,,
楩,楩,,元,ʌn,,,,
㛹,㛹,,元,ʌn,,,,
猵（猵狙）,猵,（猵狙）,真,ən,,,,
片,片,,元,ʌn,,,,
𧉄,𧉄,,真,ən,,,,
眠,眠,,真,ən,,,,
緜,緜,,元,ʌn,,,,
綿,綿,,元,ʌn,,,,
矊,矊,,元,ʌn,,,,
蝒,蝒,,元,ʌn,,,,
宀,宀,,元,ʌn,,,,
櫋,櫋,,元,ʌn,,,,
媔,媔,,元,ʌn,,,,
矏,矏,,元,ʌn,,,,
䰓,䰓,,元,ʌn,,,,
㝰,㝰,,元,ʌn,,,,
澠（澠池）,澠,（澠池）,蒸,ɔɪŋ,,,,
澠（澠池）,澠,（澠池）,蒸,ɔɪŋ,,,,
沔,沔,,真,ən,,,,
丏,丏,,真,ən,,,,
眄,眄,,真,ən,,,,
免,免,,元,ʌn,,,,
娩（分娩）,娩,（分娩）,元,ʌn,,,,
勉,勉,,元,ʌn,,,,
俛,俛,,元,ʌn,,,,
鮸,鮸,,元,ʌn,,,,
㝃,㝃,,元,ʌn,,,,
冕,冕,,元,ʌn,,,,
絻,絻,,元,ʌn,,,,
浼（浼浼）,浼,（浼浼）,元,ʌn,,,,
緬,緬,,元,ʌn,,,,
湎,湎,,元,ʌn,,,,
愐,愐,,元,ʌn,,,,
𩋠,𩋠,,元,ʌn,,,,
偭,偭,,元,ʌn,,,,
勔,勔,,元,ʌn,,,,
䤄,䤄,,元,ʌn,,,,
麪,麪,,真,ən,,,,
𡧍,𡧍,,真,ən,,,,
湣（眩湣）,湣,（眩湣）,真,ən,,,,
面,面,,元,ʌn,,,,
剜,剜,,元,ʌn,,,,
蜿,蜿,,元,ʌn,,,,
婠,婠,,元,ʌn,,,,
𧯡,𧯡,,元,ʌn,,,,
彎,彎,,元,ʌn,,,,
𤸷,𤸷,,文,ɔn,,,,
完,完,,元,ʌn,,,,
丸,丸,,元,ʌn,,,,
紈,紈,,元,ʌn,,,,
芄,芄,,元,ʌn,,,,
捖,捖,,元,ʌn,,,,
岏,岏,,元,ʌn,,,,
刓,刓,,元,ʌn,,,,
园（同“刓”）,园,（同“刓”）,元,ʌn,,,,
忨,忨,,元,ʌn,,,,
抏,抏,,元,ʌn,,,,
玩,玩,,元,ʌn,,,,
翫,翫,,元,ʌn,,,,
頑,頑,,元,ʌn,,,,
盌（碗）,盌,（碗）,元,ʌn,,,,
㼝,㼝,,元,ʌn,,,,
脘,脘,,元,ʌn,,,,
綰,綰,,元,ʌn,,,,
皖,皖,,元,ʌn,,,,
莞（莞爾，笑貌）,莞,（莞爾，笑貌）,元,ʌn,,,,
晚,晚,,元,ʌn,,,,
娩（婉娩）,娩,（婉娩）,元,ʌn,,,,
挽,挽,,元,ʌn,,,,
輓,輓,,元,ʌn,,,,
婉,婉,,元,ʌn,,,,
菀,菀,,元,ʌn,,,,
踠,踠,,元,ʌn,,,,
畹,畹,,元,ʌn,,,,
琬,琬,,元,ʌn,,,,
宛（曲）,宛,（曲）,元,ʌn,,,,
惌（小孔貌）,惌,（小孔貌）,元,ʌn,,,,
晼,晼,,元,ʌn,,,,
錽,錽,,談,ʌm,,,,
𡕢,𡕢,,談,ʌm,,,,
玩*,玩*,,元,ʌn,,,,
翫*,翫*,,元,ʌn,,,,
輐,輐,,元,ʌn,,,,
惋,惋,,元,ʌn,,,,
腕,腕,,元,ʌn,,,,
𢯲（腕）,𢯲,（腕）,元,ʌn,,,,
捥,捥,,元,ʌn,,,,
㻨,㻨,,元,ʌn,,,,
薍,薍,,元,ʌn,,,,
𡟰,𡟰,,元,ʌn,,,,
萬,萬,,元,ʌn,,,,
蟃,蟃,,元,ʌn,,,,
,,,元,ʌn,,,,
贎,贎,,元,ʌn,,,,
䡬,䡬,,元,ʌn,,,,
脕（肌澤）,脕,（肌澤）,元,ʌn,,,,
槾（槾荆）,槾,（槾荆）,元,ʌn,,,,
鰥,鰥,,文,ɔn,,,,
綸（海草名）,綸,（海草名）,文,ɔn,,,,
瘝,瘝,,文,ɔn,,,,
官,官,,元,ʌn,,,,
莞（草名）,莞,（草名）,元,ʌn,,,,
棺,棺,,元,ʌn,,,,
觀（視）,觀,（視）,元,ʌn,,,,
冠（帽子）,冠,（帽子）,元,ʌn,,,,
涫,涫,,元,ʌn,,,,
倌,倌,,元,ʌn,,,,
關,關,,元,ʌn,,,,
𢇇,𢇇,,元,ʌn,,,,
管,管,,元,ʌn,,,,
筦,筦,,元,ʌn,,,,
脘*,脘*,,元,ʌn,,,,
輨,輨,,元,ʌn,,,,
琯,琯,,元,ʌn,,,,
痯,痯,,元,ʌn,,,,
䩪,䩪,,元,ʌn,,,,
錧,錧,,元,ʌn,,,,
館,館,,元,ʌn,,,,
館,館,,元,ʌn,,,,
斡（掌管）,斡,（掌管）,元,ʌn,,,,
貫（連貫）,貫,（連貫）,元,ʌn,,,,
矔,矔,,元,ʌn,,,,
祼,祼,,元,ʌn,,,,
瓘,瓘,,元,ʌn,,,,
灌,灌,,元,ʌn,,,,
雚,雚,,元,ʌn,,,,
鸛,鸛,,元,ʌn,,,,
懽（懽懽）,懽,（懽懽）,元,ʌn,,,,
爟,爟,,元,ʌn,,,,
遦,遦,,元,ʌn,,,,
冠（戴冠）,冠,（戴冠）,元,ʌn,,,,
觀（樓觀）,觀,（樓觀）,元,ʌn,,,,
悹,悹,,元,ʌn,,,,
盥,盥,,元,ʌn,,,,
毌,毌,,元,ʌn,,,,
鱹,鱹,,元,ʌn,,,,
丱,丱,,元,ʌn,,,,
摜,摜,,元,ʌn,,,,
串,串,,元,ʌn,,,,
貫（事例，熟習）,貫,（事例，熟習）,元,ʌn,,,,
寬,寬,,元,ʌn,,,,
髖,髖,,元,ʌn,,,,
款,款,,元,ʌn,,,,
窾,窾,,元,ʌn,,,,
梡（帶足的俎）,梡,（帶足的俎）,元,ʌn,,,,
歡,歡,,元,ʌn,,,,
懽,懽,,元,ʌn,,,,
驩,驩,,元,ʌn,,,,
貛,貛,,元,ʌn,,,,
𪈩,𪈩,,元,ʌn,,,,
酄,酄,,元,ʌn,,,,
獾,獾,,元,ʌn,,,,
讙,讙,,元,ʌn,,,,
嚾,嚾,,元,ʌn,,,,
䑏,䑏,,元,ʌn,,,,
桓,桓,,元,ʌn,,,,
瓛,瓛,,元,ʌn,,,,
萑（𦼉，植物名）,萑,（𦼉，植物名）,元,ʌn,,,,
洹,洹,,元,ʌn,,,,
絙,絙,,元,ʌn,,,,
豲,豲,,元,ʌn,,,,
梡（完整的木柴）,梡,（完整的木柴）,元,ʌn,,,,
荁,荁,,元,ʌn,,,,
萈（山羊）,萈,（山羊）,元,ʌn,,,,
貆,貆,,元,ʌn,,,,
狟,狟,,元,ʌn,,,,
峘,峘,,元,ʌn,,,,
垸（以漆和灰塗器）,垸,（以漆和灰塗器）,元,ʌn,,,,
寏,寏,,元,ʌn,,,,
𦺊,𦺊,,元,ʌn,,,,
獂,獂,,元,ʌn,,,,
𡘍,𡘍,,元,ʌn,,,,
還,還,,元,ʌn,,,,
環,環,,元,ʌn,,,,
鬟,鬟,,元,ʌn,,,,
寰,寰,,元,ʌn,,,,
闤,闤,,元,ʌn,,,,
鍰,鍰,,元,ʌn,,,,
圜（環繞）,圜,（環繞）,元,ʌn,,,,
鐶,鐶,,元,ʌn,,,,
轘,轘,,元,ʌn,,,,
䭴,䭴,,元,ʌn,,,,
㡲,㡲,,元,ʌn,,,,
䴋,䴋,,元,ʌn,,,,
緩,緩,,元,ʌn,,,,
煥,煥,,元,ʌn,,,,
奐,奐,,元,ʌn,,,,
渙,渙,,元,ʌn,,,,
㬇,㬇,,元,ʌn,,,,
澣,澣,,元,ʌn,,,,
浣,浣,,元,ʌn,,,,
換,換,,元,ʌn,,,,
逭,逭,,元,ʌn,,,,
肒,肒,,元,ʌn,,,,
漶（漫漶）,漶,（漫漶）,元,ʌn,,,,
𤴯,𤴯,,元,ʌn,,,,
灌（灌灌，流盛）,灌,（灌灌，流盛）,元,ʌn,,,,
睆,睆,,元,ʌn,,,,
睅,睅,,元,ʌn,,,,
鯇,鯇,,元,ʌn,,,,
攌,攌,,元,ʌn,,,,
幻,幻,,元,ʌn,,,,
患,患,,元,ʌn,,,,
擐,擐,,元,ʌn,,,,
宦,宦,,元,ʌn,,,,
轘（車裂）,轘,（車裂）,元,ʌn,,,,
豢,豢,,元,ʌn,,,,
䍺,䍺,,元,ʌn,,,,
專,專,,元,ʌn,,,,
顓,顓,,元,ʌn,,,,
篿（占卜）,篿,（占卜）,元,ʌn,,,,
嫥,嫥,,元,ʌn,,,,
諯,諯,,元,ʌn,,,,
湍（水名）,湍,（水名）,元,ʌn,,,,
鱄,鱄,,元,ʌn,,,,
鄟,鄟,,元,ʌn,,,,
叀,叀,,元,ʌn,,,,
塼,塼,,元,ʌn,,,,
跧,跧,,元,ʌn,,,,
轉（轉運）,轉,（轉運）,元,ʌn,,,,
孨,孨,,元,ʌn,,,,
竱,竱,,元,ʌn,,,,
膞（切塊肉）,膞,（切塊肉）,元,ʌn,,,,
𨷱,𨷱,,元,ʌn,,,,
𦓚,𦓚,,元,ʌn,,,,
𠊩,𠊩,,元,ʌn,,,,
𩔊,𩔊,,元,ʌn,,,,
撰,撰,,元,ʌn,,,,
籑,籑,,元,ʌn,,,,
饌,饌,,元,ʌn,,,,
襈,襈,,元,ʌn,,,,
僎（具備）,僎,（具備）,元,ʌn,,,,
譔,譔,,元,ʌn,,,,
僝（𠊩）,僝,（𠊩）,元,ʌn,,,,
𠨎（𠨖）,𠨎,（𠨖）,元,ʌn,,,,
轉（衣裝，旋轉）,轉,（衣裝，旋轉）,元,ʌn,,,,
篆,篆,,元,ʌn,,,,
瑑,瑑,,元,ʌn,,,,
摶（百羽爲束）,摶,（百羽爲束）,元,ʌn,,,,
䧘,䧘,,元,ʌn,,,,
腞,腞,,元,ʌn,,,,
傳（傳記）,傳,（傳記）,元,ʌn,,,,
縛（束也）,縛,（束也）,元,ʌn,,,,
川,川,,文,ɔn,,,,
猭,猭,,元,ʌn,,,,
穿,穿,,元,ʌn,,,,
傳（傳達）,傳,（傳達）,元,ʌn,,,,
椽,椽,,元,ʌn,,,,
船,船,,元,ʌn,,,,
遄,遄,,元,ʌn,,,,
篅,篅,,元,ʌn,,,,
圌,圌,,元,ʌn,,,,
輲,輲,,元,ʌn,,,,
歂（姓）,歂,（姓）,元,ʌn,,,,
𣛹,𣛹,,元,ʌn,,,,
舛,舛,,文,ɔn,,,,
踳（同“舛”）,踳,（同“舛”）,文,ɔn,,,,
僢,僢,,文,ɔn,,,,
喘,喘,,元,ʌn,,,,
歂,歂,,元,ʌn,,,,
𣀔,𣀔,,元,ʌn,,,,
猭（獸走貌）,猭,（獸走貌）,元,ʌn,,,,
鶨,鶨,,元,ʌn,,,,
𨏉,𨏉,,元,ʌn,,,,
腨,腨,,元,ʌn,,,,
堧,堧,,元,ʌn,,,,
𤲬,𤲬,,元,ʌn,,,,
壖,壖,,元,ʌn,,,,
輭,輭,,元,ʌn,,,,
軟,軟,,元,ʌn,,,,
蝡,蝡,,元,ʌn,,,,
㮕,㮕,,元,ʌn,,,,
䓴,䓴,,元,ʌn,,,,
碝,碝,,元,ʌn,,,,
瑌,瑌,,元,ʌn,,,,
耎,耎,,元,ʌn,,,,
㼱,㼱,,元,ʌn,,,,
緛,緛,,元,ʌn,,,,
濡（柔軟）,濡,（柔軟）,元,ʌn,,,,
媆（貌美）,媆,（貌美）,元,ʌn,,,,
阮,阮,,元,ʌn,,,,
鑽（穿孔）,鑽,（穿孔）,元,ʌn,,,,
劗,劗,,元,ʌn,,,,
纂,纂,,元,ʌn,,,,
纘,纘,,元,ʌn,,,,
籫,籫,,元,ʌn,,,,
鑽（穿孔器）,鑽,（穿孔器）,元,ʌn,,,,
欑,欑,,元,ʌn,,,,
巑,巑,,元,ʌn,,,,
𩎈,𩎈,,元,ʌn,,,,
攢（聚集）,攢,（聚集）,元,ʌn,,,,
竄,竄,,元,ʌn,,,,
爨,爨,,元,ʌn,,,,
篡,篡,,元,ʌn,,,,
酸,酸,,元,ʌn,,,,
狻,狻,,元,ʌn,,,,
痠,痠,,元,ʌn,,,,
匴,匴,,元,ʌn,,,,
篹,篹,,元,ʌn,,,,
算（計算）,算,（計算）,元,ʌn,,,,
筭（算籌）,筭,（算籌）,元,ʌn,,,,
蒜,蒜,,元,ʌn,,,,
笇,笇,,元,ʌn,,,,
祘,祘,,元,ʌn,,,,
端,端,,元,ʌn,,,,
褍,褍,,元,ʌn,,,,
剬,剬,,元,ʌn,,,,
𧤗,𧤗,,元,ʌn,,,,
耑,耑,,元,ʌn,,,,
𥠄,𥠄,,元,ʌn,,,,
短,短,,元,ʌn,,,,
鍛,鍛,,元,ʌn,,,,
腶,腶,,元,ʌn,,,,
碫,碫,,元,ʌn,,,,
斷（决斷）,斷,（决斷）,元,ʌn,,,,
踹（跺脚）,踹,（跺脚）,元,ʌn,,,,
斷（折斷）,斷,（折斷）,元,ʌn,,,,
𩏇,𩏇,,元,ʌn,,,,
緞,緞,,元,ʌn,,,,
段,段,,元,ʌn,,,,
毈,毈,,元,ʌn,,,,
椴,椴,,元,ʌn,,,,
湍（水勢急）,湍,（水勢急）,元,ʌn,,,,
貒,貒,,元,ʌn,,,,
䵎,䵎,,元,ʌn,,,,
煓,煓,,元,ʌn,,,,
𪆃,𪆃,,文,ɔn,,,,
團,團,,元,ʌn,,,,
慱,慱,,元,ʌn,,,,
篿（圓的竹器）,篿,（圓的竹器）,元,ʌn,,,,
剸,剸,,元,ʌn,,,,
漙,漙,,元,ʌn,,,,
鷒,鷒,,元,ʌn,,,,
摶（摶之成團）,摶,（摶之成團）,元,ʌn,,,,
揣（聚貌）,揣,（聚貌）,元,ʌn,,,,
蓴,蓴,,元,ʌn,,,,
槫,槫,,元,ʌn,,,,
疃（町疃）,疃,（町疃）,東,ɒŋ,,,,
畽（町畽）,畽,（町畽）,東,ɒŋ,,,,
畽（町畽）,畽,（町畽）,東,ɒŋ,,,,
䠪,䠪,,元,ʌn,,,,
彖,彖,,元,ʌn,,,,
褖,褖,,元,ʌn,,,,
濡（水名）,濡,（水名）,元,ʌn,,,,
奻,奻,,元,ʌn,,,,
煗,煗,,元,ʌn,,,,
㬉,㬉,,元,ʌn,,,,
暖,暖,,元,ʌn,,,,
煖,煖,,元,ʌn,,,,
渜,渜,,元,ʌn,,,,
稬,稬,,元,ʌn,,,,
𪋐,𪋐,,元,ʌn,,,,
鑾,鑾,,元,ʌn,,,,
鸞,鸞,,元,ʌn,,,,
巒,巒,,元,ʌn,,,,
欒,欒,,元,ʌn,,,,
羉,羉,,元,ʌn,,,,
䜌,䜌,,元,ʌn,,,,
㱍,㱍,,元,ʌn,,,,
灓,灓,,元,ʌn,,,,
曫,曫,,元,ʌn,,,,
䖂,䖂,,元,ʌn,,,,
孿,孿,,元,ʌn,,,,
孿,孿,,元,ʌn,,,,
攣,攣,,元,ʌn,,,,
臠,臠,,元,ʌn,,,,
孌（美好貌）,孌,（美好貌）,元,ʌn,,,,
脟（割也）,脟,（割也）,元,ʌn,,,,
卵,卵,,元,ʌn,,,,
𡡗,𡡗,,元,ʌn,,,,
亂,亂,,元,ʌn,,,,
𢿢,𢿢,,元,ʌn,,,,
𤔔,𤔔,,元,ʌn,,,,
淵,淵,,真,ən,,,,
鼘,鼘,,真,ən,,,,
𨓯,𨓯,,真,ən,,,,
蜵,蜵,,真,ən,,,,
悁（忿怒）,悁,（忿怒）,元,ʌn,,,,
𡣬,𡣬,,元,ʌn,,,,
鴛,鴛,,元,ʌn,,,,
冤,冤,,元,ʌn,,,,
㠾,㠾,,元,ʌn,,,,
鵷,鵷,,元,ʌn,,,,
惌（怨）,惌,（怨）,元,ʌn,,,,
宛（地名）,宛,（地名）,元,ʌn,,,,
蒬,蒬,,元,ʌn,,,,
䡝,䡝,,元,ʌn,,,,
裷,裷,,元,ʌn,,,,
眢,眢,,元,ʌn,,,,
苑（姓）,苑,（姓）,元,ʌn,,,,
涴,涴,,元,ʌn,,,,
鳶,鳶,,元,ʌn,,,,
㾓,㾓,,元,ʌn,,,,
弲,弲,,元,ʌn,,,,
剈,剈,,元,ʌn,,,,
蜎（蜎蜎）,蜎,（蜎蜎）,元,ʌn,,,,
肙,肙,,元,ʌn,,,,
員（人員）,員,（人員）,文,ɔn,,,,
圓,圓,,文,ɔn,,,,
圜（圓形）,圜,（圓形）,元,ʌn,,,,
湲,湲,,元,ʌn,,,,
袁,袁,,元,ʌn,,,,
爰,爰,,元,ʌn,,,,
垣,垣,,元,ʌn,,,,
園,園,,元,ʌn,,,,
援（引）,援,（引）,元,ʌn,,,,
榬,榬,,元,ʌn,,,,
轅,轅,,元,ʌn,,,,
媛（嬋媛）,媛,（嬋媛）,元,ʌn,,,,
𧻚,𧻚,,元,ʌn,,,,
蝯,蝯,,元,ʌn,,,,
猨,猨,,元,ʌn,,,,
猿,猿,,元,ʌn,,,,
楥（木名）,楥,（木名）,元,ʌn,,,,
援（助）,援,（助）,元,ʌn,,,,
蝝,蝝,,元,ʌn,,,,
緣,緣,,元,ʌn,,,,
元,元,,元,ʌn,,,,
原,原,,元,ʌn,,,,
邍,邍,,元,ʌn,,,,
源,源,,元,ʌn,,,,
杬,杬,,元,ʌn,,,,
嫄,嫄,,元,ʌn,,,,
沅,沅,,元,ʌn,,,,
騵,騵,,元,ʌn,,,,
黿,黿,,元,ʌn,,,,
羱,羱,,元,ʌn,,,,
蚖,蚖,,元,ʌn,,,,
芫,芫,,元,ʌn,,,,
邧,邧,,元,ʌn,,,,
謜（徐語）,謜,（徐語）,元,ʌn,,,,
蒝,蒝,,元,ʌn,,,,
魭,魭,,元,ʌn,,,,
螈,螈,,元,ʌn,,,,
䩩,䩩,,元,ʌn,,,,
𩌑,𩌑,,元,ʌn,,,,
妴,妴,,元,ʌn,,,,
遠（遠近）,遠,（遠近）,元,ʌn,,,,
𩔃,𩔃,,元,ʌn,,,,
盶,盶,,元,ʌn,,,,
苑,苑,,元,ʌn,,,,
夗,夗,,元,ʌn,,,,
怨,怨,,元,ʌn,,,,
䛄（慰也）,䛄,（慰也）,元,ʌn,,,,
瑗,瑗,,元,ʌn,,,,
援*（助）,援*,（助）,元,ʌn,,,,
媛（美女）,媛,（美女）,元,ʌn,,,,
褑,褑,,元,ʌn,,,,
院,院,,元,ʌn,,,,
遠（離也）,遠,（離也）,元,ʌn,,,,
掾,掾,,元,ʌn,,,,
願,願,,元,ʌn,,,,
𩕾,𩕾,,元,ʌn,,,,
傆,傆,,元,ʌn,,,,
愿（謹也）,愿,（謹也）,元,ʌn,,,,
䬼,䬼,,元,ʌn,,,,
朘（縮，减）,朘,（縮，减）,文,ɔn,,,,
睃,睃,,文,ɔn,,,,
娟,娟,,元,ʌn,,,,
捐,捐,,元,ʌn,,,,
鐫,鐫,,元,ʌn,,,,
涓,涓,,元,ʌn,,,,
睊,睊,,元,ʌn,,,,
蠲,蠲,,元,ʌn,,,,
䅌,䅌,,元,ʌn,,,,
焆（明）,焆,（明）,元,ʌn,,,,
䣺,䣺,,元,ʌn,,,,
卷（收藏）,卷,（收藏）,元,ʌn,,,,
菤,菤,,元,ʌn,,,,
捲,捲,,元,ʌn,,,,
臇,臇,,元,ʌn,,,,
𧕲,𧕲,,元,ʌn,,,,
埍,埍,,元,ʌn,,,,
羂,羂,,元,ʌn,,,,
鄄,鄄,,文,ɔn,,,,
圈（畜圈）,圈,（畜圈）,元,ʌn,,,,
蔨,蔨,,元,ʌn,,,,
蜎（孑孓）,蜎,（孑孓）,元,ʌn,,,,
錈,錈,,元,ʌn,,,,
㪻,㪻,,元,ʌn,,,,
雋,雋,,元,ʌn,,,,
眷,眷,,元,ʌn,,,,
睠,睠,,元,ʌn,,,,
弮,弮,,元,ʌn,,,,
卷（書卷）,卷,（書卷）,元,ʌn,,,,
桊,桊,,元,ʌn,,,,
帣,帣,,元,ʌn,,,,
絭,絭,,元,ʌn,,,,
𧯦,𧯦,,元,ʌn,,,,
𢍏,𢍏,,元,ʌn,,,,
𥆞,𥆞,,元,ʌn,,,,
棬（桊）,棬,（桊）,元,ʌn,,,,
縳（絹）,縳,（絹）,元,ʌn,,,,
婘（眷）,婘,（眷）,元,ʌn,,,,
絹,絹,,元,ʌn,,,,
狷,狷,,元,ʌn,,,,
倦,倦,,元,ʌn,,,,
勌,勌,,元,ʌn,,,,
劵（勞也）,劵,（勞也）,元,ʌn,,,,
惓（病危）,惓,（病危）,元,ʌn,,,,
𦌾,𦌾,,元,ʌn,,,,
罥,罥,,元,ʌn,,,,
懁,懁,,元,ʌn,,,,
獧,獧,,元,ʌn,,,,
悛（悔改）,悛,（悔改）,文,ɔn,,,,
𠥙,𠥙,,文,ɔn,,,,
棬（桮棬）,棬,（桮棬）,元,ʌn,,,,
圈（杯圈）,圈,（杯圈）,元,ʌn,,,,
埢,埢,,元,ʌn,,,,
權,權,,元,ʌn,,,,
拳,拳,,元,ʌn,,,,
觠,觠,,元,ʌn,,,,
顴,顴,,元,ʌn,,,,
踡,踡,,元,ʌn,,,,
婘（貌美）,婘,（貌美）,元,ʌn,,,,
蠸,蠸,,元,ʌn,,,,
