字頭,字頭,補充,古韻,擬音,,,,
㕹,㕹,,月,ʌt,,,,
汎（汎𣶏）,汎,（汎𣶏）,緝,ɔp,,,,
乏,乏,,葉,ʌp,,,,
姂,姂,,葉,ʌp,,,,
法,法,,葉,ʌp,,,,
灋,灋,,葉,ʌp,,,,
髮,髮,,月,ʌt,,,,
鴉,鴉,,魚,ʌ,,,,
錏,錏,,魚,ʌ,,,,
𠜲,𠜲,,魚,ʌ,,,,
雅（烏鴉）,雅,（烏鴉）,魚,ʌ,,,,
啞（啞啞）,啞,（啞啞）,魚,ʌ,,,,
壓,壓,,葉,ʌp,,,,
䆘,䆘,,葉,ʌp,,,,
閘（開閉）,閘,（開閉）,葉,ʌp,,,,
厭（厭伏）,厭,（厭伏）,葉,ʌp,,,,
牙,牙,,魚,ʌ,,,,
衙（古地名）,衙,（古地名）,魚,ʌ,,,,
芽,芽,,魚,ʌ,,,,
邪（瑯邪，郡名）,邪,（瑯邪，郡名）,魚,ʌ,,,,
琊,琊,,魚,ʌ,,,,
崖,崖,,支,ə,,,,
涯,涯,,支,ə,,,,
厓,厓,,支,ə,,,,
嘊,嘊,,支,ə,,,,
睚,睚,,支,ə,,,,
猚,猚,,歌,ʌl,,,,
雅（雅俗）,雅,（雅俗）,魚,ʌ,,,,
疋（正）,疋,（正）,魚,ʌ,,,,
庌,庌,,魚,ʌ,,,,
啞（口不能言）,啞,（口不能言）,魚,ʌ,,,,
亞,亞,,魚,ʌ,,,,
啞（歎詞）,啞,（歎詞）,魚,ʌ,,,,
迓,迓,,魚,ʌ,,,,
訝,訝,,魚,ʌ,,,,
御（迓）,御,（迓）,魚,ʌ,,,,
牙（車輞）,牙,（車輞）,魚,ʌ,,,,
襾,襾,,鐸,ʌk,,,,
齾,齾,,月,ʌt,,,,
軋,軋,,月,ʌt,,,,
揠,揠,,月,ʌt,,,,
䝟,䝟,,月,ʌt,,,,
猰,猰,,月,ʌt,,,,
窫,窫,,月,ʌt,,,,
䦪,䦪,,月,ʌt,,,,
輵,輵,,月,ʌt,,,,
𠃉,𠃉,,月,ʌt,,,,
浥（窪）,浥,（窪）,緝,ɔp,,,,
圔,圔,,葉,ʌp,,,,
家,家,,魚,ʌ,,,,
葭,葭,,魚,ʌ,,,,
麚,麚,,魚,ʌ,,,,
豭,豭,,魚,ʌ,,,,
猳,猳,,魚,ʌ,,,,
犌,犌,,魚,ʌ,,,,
佳,佳,,支,ə,,,,
嘉,嘉,,歌,ʌl,,,,
加,加,,歌,ʌl,,,,
笳,笳,,歌,ʌl,,,,
痂,痂,,歌,ʌl,,,,
駕,駕,,歌,ʌl,,,,
枷,枷,,歌,ʌl,,,,
迦,迦,,歌,ʌl,,,,
茄（荷莖）,茄,（荷莖）,歌,ʌl,,,,
珈,珈,,歌,ʌl,,,,
耞,耞,,歌,ʌl,,,,
夾,夾,,葉,ʌp,,,,
浹（周遍）,浹,（周遍）,葉,ʌp,,,,
戛,戛,,質,ət,,,,
拮（戛）,拮,（戛）,質,ət,,,,
扴,扴,,月,ʌt,,,,
忦,忦,,月,ʌt,,,,
𠜵,𠜵,,月,ʌt,,,,
磍,磍,,月,ʌt,,,,
𪈟,𪈟,,月,ʌt,,,,
揳,揳,,月,ʌt,,,,
恝,恝,,月,ʌt,,,,
韐,韐,,緝,ɔp,,,,
𢂷,𢂷,,緝,ɔp,,,,
跲,跲,,緝,ɔp,,,,
袷,袷,,緝,ɔp,,,,
郟,郟,,葉,ʌp,,,,
䩡,䩡,,葉,ʌp,,,,
頰,頰,,葉,ʌp,,,,
鋏,鋏,,葉,ʌp,,,,
梜,梜,,葉,ʌp,,,,
莢,莢,,葉,ʌp,,,,
蛺,蛺,,葉,ʌp,,,,
唊,唊,,葉,ʌp,,,,
䛟,䛟,,葉,ʌp,,,,
檟,檟,,魚,ʌ,,,,
榎,榎,,魚,ʌ,,,,
嘏,嘏,,魚,ʌ,,,,
假,假,,魚,ʌ,,,,
叚,叚,,魚,ʌ,,,,
賈（姓）,賈,（姓）,魚,ʌ,,,,
斝,斝,,魚,ʌ,,,,
瘕,瘕,,魚,ʌ,,,,
枷,枷,,魚,ʌ,,,,
徦（至）,徦,（至）,魚,ʌ,,,,
甲,甲,,葉,ʌp,,,,
胛,胛,,葉,ʌp,,,,
稼,稼,,魚,ʌ,,,,
嫁,嫁,,魚,ʌ,,,,
價,價,,魚,ʌ,,,,
假,假,,魚,ʌ,,,,
嫁,嫁,,魚,ʌ,,,,
賈（價格）,賈,（價格）,魚,ʌ,,,,
駕,駕,,歌,ʌl,,,,
架,架,,歌,ʌl,,,,
髂,髂,,鐸,ʌk,,,,
擖,擖,,月,ʌt,,,,
𠛉,𠛉,,月,ʌt,,,,
硈,硈,,月,ʌt,,,,
褐（樂器）,褐,（樂器）,月,ʌt,,,,
洽（和洽）,洽,（和洽）,緝,ɔp,,,,
䁍,䁍,,緝,ɔp,,,,
鰕（蝦）,鰕,（蝦）,魚,ʌ,,,,
呀（谽呀）,呀,（谽呀）,魚,ʌ,,,,
谺,谺,,魚,ʌ,,,,
颬,颬,,魚,ʌ,,,,
𧯋,𧯋,,魚,ʌ,,,,
蝦（鰕）,蝦,（鰕）,魚,ʌ,,,,
呷,呷,,葉,ʌp,,,,
遐,遐,,魚,ʌ,,,,
鍜,鍜,,魚,ʌ,,,,
霞,霞,,魚,ʌ,,,,
瑕,瑕,,魚,ʌ,,,,
騢,騢,,魚,ʌ,,,,
䠍,䠍,,魚,ʌ,,,,
䪗,䪗,,魚,ʌ,,,,
赮,赮,,魚,ʌ,,,,
𢑓,𢑓,,魚,ʌ,,,,
暇,暇,,魚,ʌ,,,,
黠,黠,,質,ət,,,,
𪗾,𪗾,,質,ət,,,,
䶤,䶤,,物,ɔt,,,,
