字,韻部,韻母
鱒,文,ɔn
睔,文,ɔn
噴,文,ɔn
鈍,文,ɔn
遁,文,ɔn
遯,文,ɔn
寸,文,ɔn
論,文,ɔn
奔,文,ɔn
恨,文,ɔn
艮,文,ɔn
茛,文,ɔn
翰,元,ʌn
鼾,元,ʌn
釬,元,ʌn
汗,元,ʌn
悍,元,ʌn
瀚,元,ʌn
閈,元,ʌn
駻,元,ʌn
炭,元,ʌn
歎,元,ʌn
嘆,元,ʌn
按,元,ʌn
案,元,ʌn
晏,元,ʌn
旦,元,ʌn
憚,元,ʌn
彈,元,ʌn
僤,元,ʌn
但,元,ʌn
撣,元,ʌn
旰,元,ʌn
幹,元,ʌn
盰,元,ʌn
岸,元,ʌn
犴,元,ʌn
豻,元,ʌn
侃,元,ʌn
衎,元,ʌn
漢,元,ʌn
暵,元,ʌn
爛,元,ʌn
讕,元,ʌn
難,元,ʌn
粲,元,ʌn
燦,元,ʌn
璨,元,ʌn
散,元,ʌn
贊,元,ʌn
讚,元,ʌn
酇,元,ʌn
灒,元,ʌn
換,元,ʌn
逭,元,ʌn
漶,元,ʌn
鑽,元,ʌn
惋,元,ʌn
腕,元,ʌn
貫,元,ʌn
祼,元,ʌn
館,元,ʌn
瓘,元,ʌn
灌,元,ʌn
鸛,元,ʌn
冠,元,ʌn
觀,元,ʌn
棺,元,ʌn
竄,元,ʌn
爨,元,ʌn
玩,元,ʌn
翫,元,ʌn
段,元,ʌn
亂,元,ʌn
鍛,元,ʌn
斷,元,ʌn
彖,元,ʌn
喚,元,ʌn
煥,元,ʌn
奐,元,ʌn
渙,元,ʌn
筭,元,ʌn
蒜,元,ʌn
祘,元,ʌn
縵,元,ʌn
幔,元,ʌn
漫,元,ʌn
墁,元,ʌn
鏝,元,ʌn
半,元,ʌn
絆,元,ʌn
判,元,ʌn
泮,元,ʌn
叛,元,ʌn
畔,元,ʌn
伴,元,ʌn
偄,元,ʌn
諫,元,ʌn
㵎,元,ʌn
鐗,元,ʌn
鴈,元,ʌn
雁,元,ʌn
贗,元,ʌn
晏,元,ʌn
訕,元,ʌn
汕,元,ʌn
疝,元,ʌn
慢,元,ʌn
嫚,元,ʌn
謾,元,ʌn
患,元,ʌn
擐,元,ʌn
宦,元,ʌn
豢,元,ʌn
慣,元,ʌn
丱,元,ʌn
摜,元,ʌn
篡,元,ʌn
棧,元,ʌn
羼,元,ʌn
鏟,元,ʌn
襉,元,ʌn
閒,元,ʌn
莧,元,ʌn
瓣,元,ʌn
辨,元,ʌn
辦,元,ʌn
盼,文,ɔn
幻,元,ʌn
綻,元,ʌn
䋎,元,ʌn
扮,文,ɔn
霰,元,ʌn
蒨,耕,əŋ
茜,耕,əŋ
絢,真,ən
縣,元,ʌn
眩,真,ən
炫,真,ən
睊,元,ʌn
罥,元,ʌn
電,真,ən
殿,文,ɔn
奠,耕,əŋ
淀,耕,əŋ
甸,真,ən
佃,真,ən
鈿,真,ən
闐,真,ən
填,真,ən
瑱,真,ən
練,元,ʌn
楝,元,ʌn
見,元,ʌn
俔,元,ʌn
見,元,ʌn
現,元,ʌn
硯,元,ʌn
研,元,ʌn
豜,元,ʌn
趼,元,ʌn
宴,元,ʌn
燕,元,ʌn
讌,元,ʌn
嬿,元,ʌn
咽,真,ən
薦,文,ɔn
麵,元,ʌn
眄,元,ʌn
片,元,ʌn
荐,文,ɔn
殿,文,ɔn
線,元,ʌn
戰,元,ʌn
顫,元,ʌn
繕,元,ʌn
擅,元,ʌn
膳,元,ʌn
禪,元,ʌn
單,元,ʌn
嬗,元,ʌn
彥,元,ʌn
唁,元,ʌn
喭,元,ʌn
諺,元,ʌn
譴,元,ʌn
遣,元,ʌn
絹,元,ʌn
狷,元,ʌn
瑗,元,ʌn
援,元,ʌn
媛,元,ʌn
院,元,ʌn
面,元,ʌn
釧,文,ɔn
箭,元,ʌn
濺,元,ʌn
煎,元,ʌn
扇,元,ʌn
煽,元,ʌn
眷,元,ʌn
卷,元,ʌn
倦,元,ʌn
戀,元,ʌn
變,元,ʌn
卞,元,ʌn
拚,元,ʌn
抃,元,ʌn
弁,元,ʌn
鏇,元,ʌn
旋,元,ʌn
選,元,ʌn
䉵,元,ʌn
饌,元,ʌn
譔,元,ʌn
傳,元,ʌn
賤,元,ʌn
餞,元,ʌn
羨,元,ʌn
碾,元,ʌn
轉,元,ʌn
衍,元,ʌn
便,元,ʌn
徧,真,ən
遍,真,ən
嘯,宵,o
糶,宵,o
眺,宵,o
弔,宵,o
釣,宵,o
叫,幽,ɔ
徼,宵,o
尿,宵,o
藋,宵,o
銚,宵,o
掉,宵,o
調,幽,ɔ
竅,宵,o
料,宵,o
鐐,宵,o
𥬇,宵,o
肖,宵,o
照,宵,o
詔,宵,o
燿,宵,o
鷂,宵,o
耀,宵,o
曜,宵,o
要,宵,o
約,宵,o
召,宵,o
邵,宵,o
召,宵,o
劭,宵,o
嶠,宵,o
轎,宵,o
剽,宵,o
漂,宵,o
僄,宵,o
勡,宵,o
慓,宵,o
噍,宵,o
誚,宵,o
妙,宵,o
陗,宵,o
峭,宵,o
俏,宵,o
燎,宵,o
膫,宵,o
趬,宵,o
醮,宵,o
釂,宵,o
爝,宵,o
廟,宵,o
少,宵,o
燒,宵,o
饒,宵,o
繞,宵,o
效,宵,o
校,宵,o
傚,宵,o
教,宵,o
窖,幽,ɔ
校,宵,o
覺,幽,ɔ
膠,幽,ɔ
較,宵,o
孝,幽,ɔ
罩,宵,o
豹,宵,o
爆,宵,o
皃,宵,o
貌,宵,o
炮,幽,ɔ
趠,宵,o
踔,宵,o
稍,宵,o
棹,宵,o
淖,宵,o
鬧,宵,o
鈔,宵,o
靿,幽,ɔ
号,宵,o
號,宵,o
導,幽,ɔ
悼,宵,o
蹈,幽,ɔ
盜,宵,o
幬,幽,ɔ
儔,幽,ɔ
到,宵,o
禱,幽,ɔ
倒,宵,o
誥,幽,ɔ
郜,幽,ɔ
告,幽,ɔ
縞,宵,o
膏,宵,o
傲,宵,o
奡,幽,ɔ
謷,宵,o
帽,幽,ɔ
耄,宵,o
芼,宵,o
眊,宵,o
瑁,幽,ɔ
冒,幽,ɔ
嫪,幽,ɔ
澇,宵,o
潦,宵,o
勞,宵,o
癆,宵,o
操,宵,o
造,幽,ɔ
慥,幽,ɔ
糙,幽,ɔ
暴,宵,o
報,幽,ɔ
奧,幽,ɔ
懊,幽,ɔ
隩,幽,ɔ
墺,幽,ɔ
譟,宵,o
噪,宵,o
埽,幽,ɔ
掃,幽,ɔ
犒,宵,o
靠,幽,ɔ
竈,幽,ɔ
躁,宵,o
秏,宵,o
好,幽,ɔ
箇,魚,ʌ
个,魚,ʌ
個,魚,ʌ
賀,歌,ʌl
佐,歌,ʌl
左,歌,ʌl
坷,歌,ʌl
餓,歌,ʌl
馱,歌,ʌl
大,歌,ʌl
那,歌,ʌl
過,歌,ʌl
和,歌,ʌl
挫,歌,ʌl
侳,歌,ʌl
課,歌,ʌl
唾,歌,ʌl
播,歌,ʌl
簸,歌,ʌl
番,歌,ʌl
譒,歌,ʌl
剉,歌,ʌl
莝,歌,ʌl
銼,歌,ʌl
磨,歌,ʌl
摩,歌,ʌl
愞,侯,ɒ
破,歌,ʌl
座,歌,ʌl
坐,歌,ʌl
臥,歌,ʌl
貨,歌,ʌl
䐝,歌,ʌl
禡,魚,ʌ
罵,魚,ʌ
駕,歌,ʌl
稼,魚,ʌ
嫁,魚,ʌ
架,歌,ʌl
價,魚,ʌ
假,魚,ʌ
賈,魚,ʌ
亞,魚,ʌ
婭,魚,ʌ
罅,魚,ʌ
迓,魚,ʌ
訝,魚,ʌ
詫,魚,ʌ
吒,魚,ʌ
詐,魚,ʌ
乍,魚,ʌ
䄍,魚,ʌ
謝,魚,ʌ
榭,魚,ʌ
暇,魚,ʌ
夏,魚,ʌ
下,魚,ʌ
芐,魚,ʌ
藉,魚,ʌ
夜,魚,ʌ
斥,魚,ʌ
卸,魚,ʌ
瀉,魚,ʌ
柘,魚,ʌ
鷓,魚,ʌ
蔗,魚,ʌ
借,魚,ʌ
舍,魚,ʌ
赦,魚,ʌ
射,魚,ʌ
麝,魚,ʌ
貰,魚,ʌ
霸,魚,ʌ
靶,魚,ʌ
灞,魚,ʌ
帊,魚,ʌ
怕,魚,ʌ
華,魚,ʌ
樺,魚,ʌ
化,歌,ʌl
跨,魚,ʌ
胯,魚,ʌ
杷,魚,ʌ
漾,陽,ʌŋ
恙,陽,ʌŋ
羕,陽,ʌŋ
㨾,陽,ʌŋ
瀁,陽,ʌŋ
亮,陽,ʌŋ
諒,陽,ʌŋ
量,陽,ʌŋ
涼,陽,ʌŋ
狀,陽,ʌŋ
讓,陽,ʌŋ
饟,陽,ʌŋ
帳,陽,ʌŋ
脹,陽,ʌŋ
悵,陽,ʌŋ
暢,陽,ʌŋ
鬯,陽,ʌŋ
韔,陽,ʌŋ
向,陽,ʌŋ
長,陽,ʌŋ
釀,陽,ʌŋ
匠,陽,ʌŋ
障,陽,ʌŋ
墇,陽,ʌŋ
尚,陽,ʌŋ
上,陽,ʌŋ
壯,陽,ʌŋ
怏,陽,ʌŋ
唱,陽,ʌŋ
倡,陽,ʌŋ
刱,陽,ʌŋ
創,陽,ʌŋ
愴,陽,ʌŋ
醬,陽,ʌŋ
將,陽,ʌŋ
訪,陽,ʌŋ
妨,陽,ʌŋ
妄,陽,ʌŋ
望,陽,ʌŋ
忘,陽,ʌŋ
況,陽,ʌŋ
况,陽,ʌŋ
貺,陽,ʌŋ
誑,陽,ʌŋ
迋,陽,ʌŋ
旺,陽,ʌŋ
王,陽,ʌŋ
放,陽,ʌŋ
相,陽,ʌŋ
彊,陽,ʌŋ
蹡,陽,ʌŋ
狂,陽,ʌŋ
防,陽,ʌŋ
宕,陽,ʌŋ
碭,陽,ʌŋ
浪,陽,ʌŋ
閬,陽,ʌŋ
行,陽,ʌŋ
盎,陽,ʌŋ
葬,陽,ʌŋ
傍,陽,ʌŋ
藏,陽,ʌŋ
奘,陽,ʌŋ
當,陽,ʌŋ
抗,陽,ʌŋ
閌,陽,ʌŋ
炕,陽,ʌŋ
犺,陽,ʌŋ
伉,陽,ʌŋ
亢,陽,ʌŋ
謗,陽,ʌŋ
儻,陽,ʌŋ
湯,陽,ʌŋ
曠,陽,ʌŋ
壙,陽,ʌŋ
纊,陽,ʌŋ
喪,陽,ʌŋ
桄,陽,ʌŋ
映,陽,ʌŋ
暎,陽,ʌŋ
詇,陽,ʌŋ
敬,耕,əŋ
竟,陽,ʌŋ
鏡,陽,ʌŋ
競,陽,ʌŋ
倞,陽,ʌŋ
儆,耕,əŋ
慶,陽,ʌŋ
命,耕,əŋ
病,陽,ʌŋ
孟,陽,ʌŋ
橫,陽,ʌŋ
柄,陽,ʌŋ
怲,陽,ʌŋ
邴,陽,ʌŋ
詠,陽,ʌŋ
咏,陽,ʌŋ
泳,陽,ʌŋ
行,陽,ʌŋ
迎,陽,ʌŋ
諍,耕,əŋ
迸,耕,əŋ
勁,耕,əŋ
倩,耕,əŋ
凊,耕,əŋ
政,耕,əŋ
正,耕,əŋ
証,耕,əŋ
聖,耕,əŋ
鄭,耕,əŋ
性,耕,əŋ
姓,耕,əŋ
令,耕,əŋ
聘,耕,əŋ
娉,耕,əŋ
俜,耕,əŋ
敻,耕,əŋ
詗,耕,əŋ
併,耕,əŋ
并,耕,əŋ
偋,耕,əŋ
淨,耕,əŋ
請,耕,əŋ
盛,耕,əŋ
精,耕,əŋ
徑,耕,əŋ
經,耕,əŋ
甯,耕,əŋ
佞,耕,əŋ
濘,耕,əŋ
脛,耕,əŋ
定,耕,əŋ
釘,耕,əŋ
訂,耕,əŋ
罄,耕,əŋ
磬,耕,əŋ
聽,耕,əŋ
暝,耕,əŋ
鎣,耕,əŋ
瑩,耕,əŋ
令,耕,əŋ
證,蒸,ɔɪŋ
孕,蒸,ɔɪŋ
賸,蒸,ɔɪŋ
媵,蒸,ɔɪŋ
乘,蒸,ɔɪŋ
嵊,蒸,ɔɪŋ
賸,蒸,ɔɪŋ
剩,蒸,ɔɪŋ
應,蒸,ɔɪŋ
甑,蒸,ɔɪŋ
興,蒸,ɔɪŋ
勝,蒸,ɔɪŋ
稱,蒸,ɔɪŋ
丞,蒸,ɔɪŋ
嶝,蒸,ɔɪŋ
鐙,蒸,ɔɪŋ
隥,蒸,ɔɪŋ
磴,蒸,ɔɪŋ
贈,蒸,ɔɪŋ
亘,蒸,ɔɪŋ
蹭,蒸,ɔɪŋ
鄧,蒸,ɔɪŋ
增,蒸,ɔɪŋ
宥,之,ɔɪ
又,之,ɔɪ
佑,之,ɔɪ
右,之,ɔɪ
祐,之,ɔɪ
囿,之,ɔɪ
侑,之,ɔɪ
救,幽,ɔ
灸,之,ɔɪ
廄,幽,ɔ
究,幽,ɔ
疚,之,ɔɪ
胄,幽,ɔ
酎,幽,ɔ
宙,幽,ɔ
籀,幽,ɔ
晝,侯,ɒ
咮,侯,ɒ
狩,幽,ɔ
獸,幽,ɔ
守,幽,ɔ
臭,幽,ɔ
岫,幽,ɔ
袖,幽,ɔ
呪,幽,ɔ
舊,幽,ɔ
柩,之,ɔɪ
瘦,幽,ɔ
皺,侯,ɒ
甃,幽,ɔ
縐,侯,ɒ
副,之,ɔɪ
仆,屋,ɒk
覆,幽,ɔ
富,之,ɔɪ
畜,幽,ɔ
溜,幽,ɔ
霤,幽,ɔ
餾,幽,ɔ
留,幽,ɔ
秀,幽,ɔ
繡,幽,ɔ
琇,幽,ɔ
宿,幽,ɔ
僦,幽,ɔ
驟,侯,ɒ
就,幽,ɔ
鷲,幽,ɔ
復,幽,ɔ
覆,幽,ɔ
鼬,幽,ɔ
柚,幽,ɔ
褎,幽,ɔ
授,幽,ɔ
壽,幽,ɔ
售,幽,ɔ
綬,幽,ɔ
候,侯,ɒ
逅,侯,ɒ
後,侯,ɒ
堠,侯,ɒ
寇,侯,ɒ
扣,侯,ɒ
茂,幽,ɔ
貿,幽,ɔ
戊,幽,ɔ
袤,幽,ɔ
懋,幽,ɔ
豆,侯,ɒ
竇,侯,ɒ
逗,侯,ɒ
脰,侯,ɒ
鬥,侯,ɒ
鬭,侯,ɒ
耨,侯,ɒ
嗽,侯,ɒ
漱,侯,ɒ
嗾,侯,ɒ
奏,侯,ɒ
透,幽,ɔ
漚,侯,ɒ
遘,侯,ɒ
媾,侯,ɒ
覯,侯,ɒ
姤,侯,ɒ
購,侯,ɒ
雊,侯,ɒ
句,侯,ɒ
搆,侯,ɒ
冓,侯,ɒ
輳,侯,ɒ
湊,侯,ɒ
𨹟,侯,ɒ
漏,侯,ɒ
鏤,侯,ɒ
瘻,侯,ɒ
詬,侯,ɒ
幼,幽,ɔ
謬,幽,ɔ
繆,幽,ɔ
沁,侵,ɔm
浸,侵,ɔm
妊,侵,ɔm
絍,侵,ɔm
任,侵,ɔm
衽,侵,ɔm
鴆,侵,ɔm
沈,侵,ɔm
枕,侵,ɔm
噤,侵,ɔm
禁,侵,ɔm
賃,侵,ɔm
蔭,侵,ɔm
窨,侵,ɔm
廕,侵,ɔm
飲,侵,ɔm
滲,侵,ɔm
罧,侵,ɔm
闖,侵,ɔm
譖,侵,ɔm
讖,談,ʌm
吟,侵,ɔm
臨,侵,ɔm
甚,侵,ɔm
勘,侵,ɔm
紺,談,ʌm
淦,侵,ɔm
贛,談,ʌm
憾,侵,ɔm
琀,侵,ɔm
莟,侵,ɔm
暗,侵,ɔm
闇,侵,ɔm
撢,侵,ɔm
謲,侵,ɔm
闞,談,ʌm
瞰,談,ʌm
濫,談,ʌm
𨣨,談,ʌm
譀,談,ʌm
憺,談,ʌm
惔,談,ʌm
淡,談,ʌm
啗,談,ʌm
啖,談,ʌm
暫,談,ʌm
鏨,談,ʌm
擔,談,ʌm
豔,談,ʌm
焰,談,ʌm
焱,談,ʌm
贍,談,ʌm
厭,談,ʌm
猒,談,ʌm
饜,談,ʌm
驗,談,ʌm
閃,談,ʌm
苫,談,ʌm
塹,談,ʌm
嬱,談,ʌm
斂,談,ʌm
占,談,ʌm
㮇,談,ʌm
念,侵,ɔm
店,談,ʌm
墊,侵,ɔm
僭,侵,ɔm
釅,談,ʌm
陷,談,ʌm
歉,談,ʌm
儳,談,ʌm
鑑,談,ʌm
監,談,ʌm
梵,侵,ɔm
汎,侵,ɔm
泛,談,ʌm
氾,談,ʌm
劔,談,ʌm
欠,談,ʌm
俺,談,ʌm
淹,談,ʌm
屋,屋,ɒk
獨,屋,ɒk
黷,屋,ɒk
讀,屋,ɒk
櫝,屋,ɒk
牘,屋,ɒk
瀆,屋,ɒk
犢,屋,ɒk
穀,屋,ɒk
轂,屋,ɒk
谷,屋,ɒk
斛,屋,ɒk
觳,屋,ɒk
哭,屋,ɒk
禿,屋,ɒk
速,屋,ɒk
蔌,屋,ɒk
樕,屋,ɒk
祿,屋,ɒk
鹿,屋,ɒk
漉,屋,ɒk
麓,屋,ɒk
碌,屋,ɒk
族,屋,ɒk
簇,屋,ɒk
鏃,屋,ɒk
暴,藥,ok
曝,藥,ok
僕,屋,ɒk
撲,屋,ɒk
卜,屋,ɒk
濮,屋,ɒk
樸,屋,ɒk
蹼,屋,ɒk
木,屋,ɒk
沐,屋,ɒk
霂,屋,ɒk
福,職,ɔɪk
腹,覺,ɔk
複,覺,ɔk
幅,職,ɔɪk
輻,職,ɔɪk
葍,職,ɔɪk
蝠,職,ɔɪk
楅,職,ɔɪk
伏,職,ɔɪk
復,覺,ɔk
馥,覺,ɔk
鵩,職,ɔɪk
复,覺,ɔk
匐,職,ɔɪk
鰒,覺,ɔk
縮,覺,ɔk
謖,覺,ɔk
六,覺,ɔk
陸,覺,ɔk
戮,覺,ɔk
穋,覺,ɔk
蓼,覺,ɔk
逐,覺,ɔk
軸,覺,ɔk
妯,覺,ɔk
舳,覺,ɔk
蓫,覺,ɔk
柚,覺,ɔk
菊,覺,ɔk
鞠,覺,ɔk
掬,覺,ɔk
匊,覺,ɔk
鞫,覺,ɔk
踘,覺,ɔk
熟,覺,ɔk
孰,覺,ɔk
淑,覺,ɔk
塾,覺,ɔk
俶,覺,ɔk
育,覺,ɔk
毓,覺,ɔk
鬻,覺,ɔk
煜,職,ɔɪk
昱,職,ɔɪk
蹴,覺,ɔk
肉,覺,ɔk
粥,覺,ɔk
祝,覺,ɔk
柷,覺,ɔk
叔,覺,ɔk
菽,覺,ɔk
蓄,覺,ɔk
畜,覺,ɔk
慉,覺,ɔk
竹,覺,ɔk
竺,覺,ɔk
筑,覺,ɔk
築,覺,ɔk
蹙,覺,ɔk
蝮,覺,ɔk
覆,覺,ɔk
郁,職,ɔɪk
彧,職,ɔɪk
燠,覺,ɔk
薁,覺,ɔk
肅,覺,ɔk
宿,覺,ɔk
夙,覺,ɔk
目,覺,ɔk
睦,覺,ɔk
穆,覺,ɔk
苜,覺,ɔk
牧,職,ɔɪk
囿,覺,ɔk
蓄,覺,ɔk
矗,覺,ɔk
沃,藥,ok
鋈,藥,ok
毒,覺,ɔk
纛,覺,ɔk
篤,覺,ɔk
督,覺,ɔk
酷,覺,ɔk
嚳,覺,ɔk
鵠,覺,ɔk
翯,藥,ok
礐,覺,ɔk
僕,屋,ɒk
梏,覺,ɔk
牿,覺,ɔk
郜,覺,ɔk
熇,藥,ok
燭,屋,ɒk
屬,屋,ɒk
矚,屋,ɒk
玉,屋,ɒk
獄,屋,ɒk
旭,覺,ɔk
勗,覺,ɔk
局,屋,ɒk
侷,屋,ɒk
蜀,屋,ɒk
屬,屋,ɒk
觸,屋,ɒk
辱,屋,ɒk
蓐,屋,ɒk
縟,屋,ɒk
溽,屋,ɒk
束,屋,ɒk
欲,屋,ɒk
浴,屋,ɒk
鵒,屋,ɒk
谷,屋,ɒk
躅,屋,ɒk
蠋,屋,ɒk
錄,屋,ɒk
淥,屋,ɒk
綠,屋,ɒk
逯,屋,ɒk
籙,屋,ɒk
曲,屋,ɒk
瘃,屋,ɒk
足,屋,ɒk
贖,屋,ɒk
促,屋,ɒk
續,屋,ɒk
俗,屋,ɒk
藚,屋,ɒk
粟,屋,ɒk
亍,屋,ɒk
覺,覺,ɔk
角,屋,ɒk
桷,屋,ɒk
較,藥,ok
榷,藥,ok
嶽,屋,ɒk
岳,屋,ɒk
樂,藥,ok
浞,屋,ɒk
捉,屋,ɒk
朔,鐸,ʌk
數,屋,ɒk
㮶,鐸,ʌk
斲,屋,ɒk
涿,屋,ɒk
椓,屋,ɒk
琢,屋,ɒk
卓,藥,ok
啄,屋,ɒk
倬,藥,ok
剝,屋,ɒk
駮,藥,ok
駁,藥,ok
邈,藥,ok
雹,覺,ɔk
璞,屋,ɒk
樸,屋,ɒk
愨,屋,ɒk
確,藥,ok
濁,屋,ɒk
擢,藥,ok
濯,藥,ok
鐲,屋,ɒk
渥,屋,ɒk
握,屋,ɒk
幄,屋,ɒk
齷,屋,ɒk
搦,藥,ok
踔,藥,ok
犖,藥,ok
學,覺,ɔk
澩,覺,ɔk
齪,屋,ɒk
質,質,ət
郅,質,ət
桎,質,ət
蛭,質,ət
騭,職,ɔɪk
日,質,ət
實,質,ət
秩,質,ət
紩,質,ət
帙,質,ət
姪,質,ət
悉,質,ət
膝,質,ət
蟋,質,ət
一,質,ət
壹,質,ət
七,質,ət
漆,質,ət
柒,質,ət
匹,質,ət
吉,質,ət
拮,質,ət
暱,職,ɔɪk
昵,質,ət
逸,質,ət
佚,質,ət
佾,質,ət
溢,錫,ək
軼,質,ət
鎰,錫,ək
泆,質,ət
詰,質,ət
咥,質,ət
栗,質,ət
慄,質,ət
溧,質,ət
窒,質,ət
挃,質,ət
銍,質,ət
疾,質,ət
嫉,質,ət
蒺,質,ət
失,質,ət
室,質,ət
蜜,質,ət
謐,質,ət
䤉,質,ət
必,質,ət
畢,質,ət
篳,質,ət
蓽,質,ət
韠,質,ət
蹕,質,ət
觱,質,ət
珌,質,ət
姞,質,ət
佶,質,ət
邲,質,ət
苾,質,ət
駜,質,ət
飶,質,ət
怭,質,ət
率,物,ɔt
帥,物,ɔt
蟀,物,ɔt
叱,質,ət
密,質,ət
弼,物,ɔt
乙,質,ət
筆,物,ɔt
術,物,ɔt
述,物,ɔt
秫,物,ɔt
朮,物,ɔt
沭,物,ɔt
橘,質,ət
崒,物,ɔt
聿,物,ɔt
鴪,質,ət
遹,質,ət
驈,質,ət
卹,質,ət
恤,質,ət
戌,物,ɔt
律,物,ɔt
黜,物,ɔt
怵,物,ɔt
㤕,物,ɔt
絀,物,ɔt
出,物,ɔt
櫛,質,ət
瑟,質,ət
物,物,ɔt
勿,物,ɔt
芴,物,ɔt
弗,物,ɔt
紱,月,ʌt
黻,月,ʌt
紼,物,ɔt
芾,月,ʌt
韍,月,ʌt
不,之,ɔɪ
髴,物,ɔt
鬱,物,ɔt
尉,物,ɔt
厥,物,ɔt
屈,物,ɔt
屈,物,ɔt
詘,物,ɔt
倔,物,ɔt
崛,物,ɔt
掘,物,ɔt
佛,物,ɔt
怫,物,ɔt
拂,物,ɔt
茀,物,ɔt
祓,月,ʌt
彿,物,ɔt
迄,物,ɔt
汔,物,ɔt
訖,物,ɔt
吃,物,ɔt
屹,物,ɔt
圪,物,ɔt
仡,物,ɔt
乞,物,ɔt
契,月,ʌt
月,月,ʌt
刖,月,ʌt
軏,月,ʌt
伐,月,ʌt
筏,月,ʌt
罰,月,ʌt
閥,月,ʌt
越,月,ʌt
粵,月,ʌt
戉,月,ʌt
鉞,月,ʌt
樾,月,ʌt
曰,月,ʌt
厥,月,ʌt
蹶,月,ʌt
劂,月,ʌt
蕨,月,ʌt
蟩,月,ʌt
鱖,月,ʌt
噦,月,ʌt
撅,月,ʌt
掘,月,ʌt
𣖬,月,ʌt
闕,月,ʌt
髮,月,ʌt
發,月,ʌt
襪,月,ʌt
謁,月,ʌt
歇,月,ʌt
訐,月,ʌt
羯,月,ʌt
揭,月,ʌt
竭,月,ʌt
碣,月,ʌt
沒,物,ɔt
歿,物,ɔt
骨,物,ɔt
鶻,物,ɔt
滑,物,ɔt
勃,物,ɔt
渤,物,ɔt
孛,物,ɔt
咄,物,ɔt
突,物,ɔt
膃,物,ɔt
忽,物,ɔt
笏,物,ɔt
惚,物,ɔt
兀,物,ɔt
扤,物,ɔt
窟,物,ɔt
訥,物,ɔt
肭,物,ɔt
猝,物,ɔt
鶻,物,ɔt
卒,物,ɔt
曷,月,ʌt
褐,月,ʌt
蝎,月,ʌt
喝,月,ʌt
怛,月,ʌt
妲,月,ʌt
笪,月,ʌt
靼,月,ʌt
闥,月,ʌt
撻,月,ʌt
獺,月,ʌt
遏,月,ʌt
閼,月,ʌt
剌,月,ʌt
辢,月,ʌt
瘌,月,ʌt
糲,月,ʌt
渴,月,ʌt
達,月,ʌt
葛,月,ʌt
割,月,ʌt
摋,月,ʌt
末,月,ʌt
秣,月,ʌt
沫,月,ʌt
撥,月,ʌt
括,月,ʌt
活,月,ʌt
栝,月,ʌt
聒,月,ʌt
鴰,月,ʌt
佸,月,ʌt
闊,月,ʌt
活,月,ʌt
佸,月,ʌt
奪,月,ʌt
豁,月,ʌt
濊,月,ʌt
斡,月,ʌt
鏺,月,ʌt
脫,月,ʌt
捋,月,ʌt
掇,月,ʌt
剟,月,ʌt
咄,物,ɔt
撮,月,ʌt
跋,月,ʌt
魃,月,ʌt
軷,月,ʌt
拔,月,ʌt
菝,月,ʌt
茇,月,ʌt
黠,質,ət
札,月,ʌt
拔,月,ʌt
滑,物,ɔt
猾,物,ɔt
八,質,ət
穵,物,ɔt
察,月,ʌt
劀,質,ət
戛,質,ət
軋,月,ʌt
殺,月,ʌt
鎩,月,ʌt
茁,物,ɔt
鎋,月,ʌt
舝,月,ʌt
轄,月,ʌt
刮,月,ʌt
刷,月,ʌt
屑,質,ət
楔,月,ʌt
榍,質,ət
切,質,ət
竊,質,ət
結,質,ət
絜,月,ʌt
潔,月,ʌt
桔,質,ət
袺,質,ət
拮,質,ət
節,質,ət
血,質,ət
闋,質,ət
缺,月,ʌt
玦,月,ʌt
譎,質,ət
訣,月,ʌt
觼,質,ət
鐍,質,ət
鴂,月,ʌt
決,月,ʌt
觖,月,ʌt
抉,月,ʌt
穴,質,ət
垤,質,ət
耋,質,ət
迭,質,ət
跌,質,ət
絰,質,ət
瓞,質,ət
鐵,質,ət
餮,質,ət
驖,質,ət
擷,質,ət
頡,質,ət
頁,質,ət
襭,質,ət
涅,質,ət
苶,質,ət
𢧵,月,ʌt
齧,月,ʌt
臬,月,ʌt
隉,月,ʌt
蔑,月,ʌt
蠛,月,ʌt
篾,月,ʌt
幭,月,ʌt
噎,質,ət
挈,月,ʌt
契,月,ʌt
鍥,月,ʌt
撆,月,ʌt
瞥,月,ʌt
嫳,月,ʌt
蹩,月,ʌt
薛,月,ʌt
紲,月,ʌt
褻,月,ʌt
泄,月,ʌt
暬,月,ʌt
列,月,ʌt
烈,月,ʌt
洌,月,ʌt
冽,月,ʌt
裂,月,ʌt
哲,月,ʌt
傑,月,ʌt
桀,月,ʌt
偈,月,ʌt
熱,月,ʌt
晢,月,ʌt
浙,月,ʌt
折,月,ʌt
舌,月,ʌt
折,月,ʌt
孽,月,ʌt
糱,月,ʌt
櫱,月,ʌt
滅,月,ʌt
朅,月,ʌt
鼈,月,ʌt
絕,月,ʌt
雪,月,ʌt
悅,月,ʌt
說,月,ʌt
閱,月,ʌt
缺,月,ʌt
爇,月,ʌt
說,月,ʌt
拙,物,ɔt
歠,月,ʌt
啜,月,ʌt
輟,月,ʌt
惙,月,ʌt
啜,月,ʌt
劣,月,ʌt
埒,月,ʌt
鋝,月,ʌt
別,月,ʌt
轍,月,ʌt
澈,月,ʌt
別,月,ʌt
孑,月,ʌt
設,月,ʌt
蹶,月,ʌt
茁,物,ɔt
撤,月,ʌt
