廣韻字頭(覈校後),廣韻字頭原貌(覈校前),聲紐,聲母擬音,呼,等,韻部(調整後),廣韻韻部原貌(調整前),,韻母擬音,聲調,廣韻反切(覈校後),廣韻反切原貌(覈校前),全王本切韻-反切,裴本切韻-反切,先秦韻部（引自余迺永的《上古音系研究》）,廣韻釋義,釋義補充
掓,掓,書,ʃ,開,三,東,屋,開三東,œk,入,式竹,式竹,式竹,,,拾也,
𢞣,𢞣,書,ʃ,開,三,東,屋,開三東,œk,入,式竹,式竹,,,,疾也,
翛,翛,書,ʃ,開,三,東,屋,開三東,œk,入,式竹,式竹,,式六,,飛疾之皃又音蕭,
尗,尗,書,ʃ,開,三,東,屋,開三東,œk,入,式竹,式竹,,,覺,豆也,
菽,菽,書,ʃ,開,三,東,屋,開三東,œk,入,式竹,式竹,式竹,式六,,上同,豆也
㶖,㶖,書,ʃ,開,三,東,屋,開三東,œk,入,式竹,式竹,,,,水波,
蓄,蓄,曉,h,開,三,東,屋,開三東,œk,入,許竹,許竹,許六,許六,,蓄冬菜也許竹切又丑六切十,
稸,稸,曉,h,開,三,東,屋,開三東,œk,入,許竹,許竹,,許六,,上同,蓄冬菜也許竹切又丑六切十
畜,畜,曉,h,開,三,東,屋,開三東,œk,入,許竹,許竹,許六,許六,覺,養也說文曰田畜也淮南子曰玄田爲畜又丑六許救二切,
𤲸,𤲸,曉,h,開,三,東,屋,開三東,œk,入,許竹,許竹,,,,上同說文云魯郊禮畜从田从兹兹益也,養也說文曰田畜也淮南子曰玄田爲畜又丑六許救二切
㜅,㜅,曉,h,開,三,東,屋,開三東,œk,入,許竹,許竹,許六,許六,,媚也,
鄐,鄐,曉,h,開,三,東,屋,開三東,œk,入,許竹,許竹,許六,許六,,晉邢侯邑又姓漢有鄐熙爲東海太守,
荲,荲,曉,h,開,三,東,屋,開三東,œk,入,許竹,許竹,許六,許六,,羊蹄菜又丑六切,
蓫,蓫,曉,h,開,三,東,屋,開三東,œk,入,許竹,許竹,,,,上同,羊蹄菜又丑六切
慉,慉,曉,h,開,三,東,屋,開三東,œk,入,許竹,許竹,許六,許六,,起也詩云不我能慉,
𥈆,𥈆,曉,h,開,三,東,屋,開三東,œk,入,許竹,許竹,許六,,,細視,
竹,竹,知,ȶ,開,三,東,屋,開三東,œk,入,張六,張六,陟六,陟六,覺,說文作竹冬生草也象形下垂者菩箬也史記曰渭川千畮竹其人與千戶侯等亦姓本姜姓封爲孤竹君至伯夷叔齊之後以竹爲氏今遼西孤竹城是後漢有下邳相竹曾張六切六,
竺,竺,知,ȶ,開,三,東,屋,開三東,œk,入,張六,張六,陟六,陟六,,天竺國名又姓出東莞後漢擬陽侯竺晏本姓竹報怨有仇以冑姓名賢不改其族乃加二字以存夷齊而移於琅邪莒縣也又冬毒切厚也俗作笁,
筑,筑,知,ȶ,開,三,東,屋,開三東,œk,入,張六,張六,陟六,陟六,覺,筑似箏十三弦高漸離善擊筑說文曰以竹爲五弦之樂也又爾雅曰筑拾也又音逐水名,
築,築,知,ȶ,開,三,東,屋,開三東,œk,入,張六,張六,陟六,陟六,,擣也,
𥴁,𥴁,知,ȶ,開,三,東,屋,開三東,œk,入,張六,張六,,,,古文,擣也
茿,茿,知,ȶ,開,三,東,屋,開三東,œk,入,張六,張六,陟六,陟六,,萹茿也似藜赤莖生道傍可食,
蹙,蹙,精,ts̺,開,三,東,屋,開三東,œk,入,子六,子六,子六,子六,,迫也促也近也急也子六切十七,
踧,踧,精,ts̺,開,三,東,屋,開三東,œk,入,子六,子六,子六,子六,,踧踖行而謹敬,
𧑙,𧑙,精,ts̺,開,三,東,屋,開三東,œk,入,子六,子六,子六,,,蝍𧑙蚇蠖也,
𠴫,𠴫,精,ts̺,開,三,東,屋,開三東,œk,入,子六,子六,子六,子六,,說文嗼也本音寂,
㗤,㗤,精,ts̺,開,三,東,屋,開三東,œk,入,子六,子六,子六,,,㗤咨慙也,
噈,噈,精,ts̺,開,三,東,屋,開三東,œk,入,子六,子六,子六,,,歍噈口相就也,
摵,摵,精,ts̺,開,三,東,屋,開三東,œk,入,子六,子六,子六,,,到也,
槭,槭,精,ts̺,開,三,東,屋,開三東,œk,入,子六,子六,子六,,,木可作大車輮,
殧,殧,精,ts̺,開,三,東,屋,開三東,œk,入,子六,子六,,,,𣧩也,
𣤶,𣤶,精,ts̺,開,三,東,屋,開三東,œk,入,子六,子六,,,,取氣皃說文本才六切歍𣤶也,
𥷼,𥷛,精,ts̺,開,三,東,屋,開三東,œk,入,子六,子六,子六,,,笡也,
縬,縬,精,ts̺,開,三,東,屋,開三東,œk,入,子六,子六,子六,,,縮也又繒文也又側六切,
𣢰,𣢰,精,ts̺,開,三,東,屋,開三東,œk,入,子六,子六,子六,,,欻悲皃,
𦟠,𦟠,精,ts̺,開,三,東,屋,開三東,œk,入,子六,子六,,,,䐚𦟠膏澤也,
顣,顣,精,ts̺,開,三,東,屋,開三東,œk,入,子六,子六,,,,顣頞鼻頤促皃,
䙘,䙘,精,ts̺,開,三,東,屋,開三東,œk,入,子六,子六,子六,,,好衣皃,
蹴,蹴,精,ts̺,開,三,東,屋,開三東,œk,入,子六,子六,,,,蹋也又七六切,
珿,珿,初,ts̻ʰ,開,三,東,屋,開三東,œk,入,初六,初六,初六,初六,,齊也初六切六,
矗,矗,初,ts̻ʰ,開,三,東,屋,開三東,œk,入,初六,初六,初六,初六,,直皃又敕六切,
𪘏,𪘏,初,ts̻ʰ,開,三,東,屋,開三東,œk,入,初六,初六,初六,初六,,廉謹皃,
𨴖,𨴖,初,ts̻ʰ,開,三,東,屋,開三東,œk,入,初六,初六,,,,眾也出字統或作閦,
𧯩,𧯩,初,ts̻ʰ,開,三,東,屋,開三東,œk,入,初六,初六,,,,小豆,
䎌,䎌,初,ts̻ʰ,開,三,東,屋,開三東,œk,入,初六,初六,,,,飛皃,
朒,肭,娘,ȵ,開,三,東,屋,開三東,œk,入,女六,女六,女六,女六,,朔而月見東方謂之縮朒女六切八,
恧,恧,娘,ȵ,開,三,東,屋,開三東,œk,入,女六,女六,女六,女六,,慙也,
𦗂,𦗂,娘,ȵ,開,三,東,屋,開三東,œk,入,女六,女六,,,,上同,慙也
忸,忸,娘,ȵ,開,三,東,屋,開三東,œk,入,女六,女六,女六,女六,,忸怩,
衄,衄,娘,ȵ,開,三,東,屋,開三東,œk,入,女六,女六,,,,鼻出血又挫也又音肉,
䖡,䖡,娘,ȵ,開,三,東,屋,開三東,œk,入,女六,女六,女六,,,䖡蚭即蚰蜒也,
䂇,䂇,娘,ȵ,開,三,東,屋,開三東,œk,入,女六,女六,女六,女六,,刺也,
沑,沑,娘,ȵ,開,三,東,屋,開三東,œk,入,女六,女六,,,,蹜沑水文聚,
縬,縬,莊,ts̻,開,三,東,屋,開三東,œk,入,側六,側六,,側六,,縬文也側六切二,
𡎺,𡎺,莊,ts̻,開,三,東,屋,開三東,œk,入,側六,側六,,,,塞也,
蝮,蝮,滂,pʰ,合,三,東,屋,合三東,œk,入,芳福,芳福,芳伏,芳伏,,蝮蛇又姓乾封元年詔改武惟良爲蝮氏芳福切八,
覆,覆,滂,pʰ,合,三,東,屋,合三東,œk,入,芳福,芳福,芳伏,芳伏,,反覆又敗也倒也審也又敷救切,
蕧,蕧,滂,pʰ,合,三,東,屋,合三東,œk,入,芳福,芳福,,,,蕧葐草又音服,
𩯅,𩯅,滂,pʰ,合,三,東,屋,合三東,œk,入,芳福,芳福,,,,廣雅曰假髻也,
副,副,滂,pʰ,合,三,東,屋,合三東,œk,入,芳福,芳福,,,,剖也又敷救切,
㙏,㙏,滂,pʰ,合,三,東,屋,合三東,œk,入,芳福,芳福,芳伏,,,地室,
𥨍,𥨍,滂,pʰ,合,三,東,屋,合三東,œk,入,芳福,芳福,,,,上同,地室
䔰,䔰,滂,pʰ,合,三,東,屋,合三東,œk,入,芳福,芳福,芳伏,芳伏,,䔰𦼱草名又音富,
郁,郁,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,於六,於六,,文也亦郁郅縣在北地又姓魯相有郁貢又虜三字姓二氏後魏書云蠕蠕姓郁久閭氏又北方郁原甄氏後改爲甄氏於六切二十,
戫,戫,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,於六,,,有文章也,
彧,彧,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,,於六,職,上同,有文章也
燠,燠,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,於六,於六,,熱也又音奧,
栯,栯,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,於六,於六,,栯李又音有俗作㮋,
噢,噢,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,於六,於六,,噢咿悲也,
墺,墺,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,於六,於六,,墺壤,
䐿,䐿,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,於六,於六,,鳥胃,
薁,薁,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,於六,於六,,蘡薁,
澳,澳,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,於六,於六,,隈也水內曰澳,
隩,隩,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,,,,上同又音奧,隈也水內曰澳
䉛,䉛,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,於六,於六,,可以漉米,
𣢜,𣢜,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,於六,於六,,愁皃,
𨞓,𨞓,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,,,,姓出姓苑,
𪑝,𪑝,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,於六,於六,,羔裘之縫又于逼切,
稶,稶,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,於六,,,黍稷盛皃,
懊,懊,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,,,,貪也愛也又音奧,
㰲,㰲,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,,,,吹氣也,
𠸹,𠸹,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,於六,,,喉聲,
𨪎,𨪎,影,∅,開,三,東,屋,開三東,œk,入,於六,於六,於六,,,溫器,
肅,肅,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,息逐,息逐,幽/覺,恭也敬也戒也進也疾也又州名古月氏國地漢匈奴昆邪王殺休屠王并其眾來降遂置酒泉郡後魏以酒泉爲甘州隋分福祿縣置肅州亦姓出姓苑息逐切二十三,
宿,宿,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,息逐,息逐,覺,素也大也舍也說文作㝛止也左傳曰一宿爲舍再宿爲信又姓風俗通云漢有鴈門太守宿詳又虜複姓後魏末有賊帥勤宿明達又虜三字姓後魏書宿六斤氏後改爲宿氏又息救切,
蓿,蓿,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,息逐,息逐,,苜蓿史記云大宛國馬嗜目宿漢使所得種於離宮,
夙,夙,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,息逐,息逐,覺,早也說文作𡖊早敬也从丮持事雖夕不休早敬者也丮音戟又姓魯大夫季孫夙之後,
𠉦,𠉦,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,,,,,早也說文作𡖊早敬也从丮持事雖夕不休早敬者也丮音戟又姓魯大夫季孫夙之後
𠈇,𠈇,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,,,覺,並古文出說文,早也說文作𡖊早敬也从丮持事雖夕不休早敬者也丮音戟又姓魯大夫季孫夙之後
玊,玊,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,息逐,息逐,,朽玉又琢玉工又姓後漢有玉況字文伯光武以爲司徒,
鷫,鷫,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,息逐,息逐,,說文曰鷫鷞也五方神鳥也東方發明南方焦明西方鷫鷞北方幽昌中央鳳皇,
𪂸,𪂸,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,,,,上同,說文曰鷫鷞也五方神鳥也東方發明南方焦明西方鷫鷞北方幽昌中央鳳皇
蟰,蟰,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,息逐,息逐,,蟰蛸俗呼喜子詩曰蟰蛸在戶又音蕭,
驌,驌,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,息逐,息逐,,驌騻馬名,
䎘,䎘,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,息逐,,,䎘䎘鳥羽聲又音縮,
𩘹,𩘹,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,,,,風聲,
鱐,鱐,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,息逐,,,魚腊,
䃤,䃤,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,息逐,,,黑砥石又音篠,
𤥔,𤥔,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,,,,朽玉又姓也,
潚,潚,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,,,,深清也亦姓漢有潚河,
橚,橚,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,,,,木長皃,
㩋,㩋,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,息逐,,,擊也,
䑿,䑿,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,息逐,息逐,,艒䑿船名,
㑉,㑉,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,,,,傗㑉不伸,
璛,璛,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,,,,姓也,
㪩,㪩,心,s̺,開,三,東,屋,開三東,œk,入,息逐,息逐,,,,打也,
目,目,明,m̊,合,三,東,屋,合三東,œk,入,莫六,莫六,莫六,莫六,覺,釋名曰目默也默而內識也說文曰人眼象形重童子也莫六切十一,
睦,睦,明,m̊,合,三,東,屋,合三東,œk,入,莫六,莫六,莫六,莫六,,親也敬也又和睦也亦西胡姓,
穆,穆,明,m̊,合,三,東,屋,合三東,œk,入,莫六,莫六,莫六,莫六,,和也美也敬也厚也清也又姓漢有穆生,
苜,苜,明,m̊,合,三,東,屋,合三東,œk,入,莫六,莫六,莫六,莫六,,苜蓿,
𦱒,𦱒,明,m̊,合,三,東,屋,合三東,œk,入,莫六,莫六,,,,𦱒蓿見爾雅注,
牧,牧,明,m̊,合,三,東,屋,合三東,œk,入,莫六,莫六,莫六,莫六,職,養也放也使也察也司也食也說文曰養牛人也又姓風俗通云漢有越嶲太守牧稂,
㙁,㙁,明,m̊,合,三,東,屋,合三東,œk,入,莫六,莫六,莫六,莫六,,㙁野殷近郊地名古文尚書作此㙁說文作坶,
繆,繆,明,m̊,合,三,東,屋,合三東,œk,入,莫六,莫六,,,,禮記有繆公又姓也又靡幼切,
萺,萺,明,m̊,合,三,東,屋,合三東,œk,入,莫六,莫六,,,,萺𦸚菜,
㣎,㣎,明,m̊,合,三,東,屋,合三東,œk,入,莫六,莫六,莫六,莫六,覺,說文曰細文也今作㣎同,
㾇,㾇,明,m̊,合,三,東,屋,合三東,œk,入,莫六,莫六,,,,㾇病,
囿,囿,云,ˀɦ,開,三,東,屋,開三東,œk,入,于六,于六,于目,于目,,園囿于六切又于救切二,
哊,哊,云,ˀɦ,開,三,東,屋,開三東,œk,入,于六,于六,于目,,,吐聲,
蓄,蓄,徹,ȶʰ,開,三,東,屋,開三東,œk,入,丑六,丑六,,,,蓄冬菜詩曰我有旨蓄鄭玄云蓄聚美菜以禦冬月乏無時也本亦作畜丑六切十,
稸,稸,徹,ȶʰ,開,三,東,屋,開三東,œk,入,丑六,丑六,丑六,丑六,,上同,蓄冬菜詩曰我有旨蓄鄭玄云蓄聚美菜以禦冬月乏無時也本亦作畜丑六切十
滀,滀,徹,ȶʰ,開,三,東,屋,開三東,œk,入,丑六,丑六,,,,水聚,
苖,苖,徹,ȶʰ,開,三,東,屋,開三東,œk,入,丑六,丑六,丑六,,,蓨也又他六徒歷二切蓨音挑又音剔,
荲,荲,徹,ȶʰ,開,三,東,屋,開三東,œk,入,丑六,丑六,,,,羊蹄菜,
蓫,蓫,徹,ȶʰ,開,三,東,屋,開三東,œk,入,丑六,丑六,丑六,,,上同,羊蹄菜
敊,敊,徹,ȶʰ,開,三,東,屋,開三東,œk,入,丑六,丑六,丑六,,,病敊皃,
傗,傗,徹,ȶʰ,開,三,東,屋,開三東,œk,入,丑六,丑六,,,,傗㑉不伸,
鄐,鄐,徹,ȶʰ,開,三,東,屋,開三東,œk,入,丑六,丑六,,,,地名在晉,
矗,矗,徹,ȶʰ,開,三,東,屋,開三東,œk,入,丑六,丑六,,,,直也齊也,
砡,砡,疑,ŋ̊,開,三,東,屋,開三東,œk,入,魚菊,魚菊,,魚六,,齊頭皃魚菊切一,
𣤶,𣤶,從,ˀz̺ʱ,開,三,東,屋,開三東,œk,入,才六,才六,,,,說文曰歍𣤶也才六切一,
沃,沃,影,∅,合,一,冬,沃,合一冬,ɔk,入,烏酷,烏酷,烏酷,烏酷,,灌也說文作𣵽又姓太甲子沃丁之後出風俗通烏酷切七,
鋈,鋈,影,∅,合,一,冬,沃,合一冬,ɔk,入,烏酷,烏酷,烏酷,烏酷,,白金,
鱟,鱟,影,∅,合,一,冬,沃,合一冬,ɔk,入,烏酷,烏酷,烏酷,烏酷,,魚名又音候,
䑁,䑁,影,∅,合,一,冬,沃,合一冬,ɔk,入,烏酷,烏酷,烏酷,,,膏膜又音屋,
䁷,䁷,影,∅,合,一,冬,沃,合一冬,ɔk,入,烏酷,烏酷,,,,瞋目,
觷,觷,影,∅,合,一,冬,沃,合一冬,ɔk,入,烏酷,烏酷,,,,治角也又戶角切,
䮸,䮸,影,∅,合,一,冬,沃,合一冬,ɔk,入,烏酷,烏酷,,,,馬腹下聲,
毒,毒,定,ˀd̺ʱ,合,一,冬,沃,合一冬,ɔk,入,徒沃,徒沃,徒沃,徒沃,覺,痛也害也苦也憎也說文作𡹆厚也害人之草往往而生徒沃切八,
𡹆,𡹆,定,ˀd̺ʱ,合,一,冬,沃,合一冬,ɔk,入,徒沃,徒沃,,,,見上注,痛也害也苦也憎也說文作𡹆厚也害人之草往往而生徒沃切八
𦺇,𦺇,定,ˀd̺ʱ,合,一,冬,沃,合一冬,ɔk,入,徒沃,徒沃,徒沃,徒沃,,萹茿草,
蝳,蝳,定,ˀd̺ʱ,合,一,冬,沃,合一冬,ɔk,入,徒沃,徒沃,徒沃,徒沃,,蝳蜍似蜘蛛,
瑇,瑇,定,ˀd̺ʱ,合,一,冬,沃,合一冬,ɔk,入,徒沃,徒沃,徒沃,徒沃,,瑇瑁又音代,
纛,纛,定,ˀd̺ʱ,合,一,冬,沃,合一冬,ɔk,入,徒沃,徒沃,,,,左纛又徒号切,
𢃶,𢃶,定,ˀd̺ʱ,合,一,冬,沃,合一冬,ɔk,入,徒沃,徒沃,,徒沃,,上同,左纛又徒号切
碡,碡,定,ˀd̺ʱ,合,一,冬,沃,合一冬,ɔk,入,徒沃,徒沃,徒沃,,,碌碡田器,
篤,篤,端,t̺,合,一,冬,沃,合一冬,ɔk,入,冬毒,冬毒,冬毒,冬毒,,厚也說文曰馬行頓遟冬毒切十一,
竺,竺,端,t̺,合,一,冬,沃,合一冬,ɔk,入,冬毒,冬毒,,,,地名說文厚也,
督,督,端,t̺,合,一,冬,沃,合一冬,ɔk,入,冬毒,冬毒,冬毒,冬毒,,率也勸也正也說文察也一曰目痛也又姓風俗通云漢有五原太守督□俗作𣈉,
𧝴,𧝴,端,t̺,合,一,冬,沃,合一冬,ɔk,入,冬毒,冬毒,冬毒,冬毒,,衣背縫也,
𧛔,𧛔,端,t̺,合,一,冬,沃,合一冬,ɔk,入,冬毒,冬毒,,,,,衣背縫也
𧞶,𧞶,端,t̺,合,一,冬,沃,合一冬,ɔk,入,冬毒,冬毒,,,,並上同,衣背縫也
錖,錖,端,t̺,合,一,冬,沃,合一冬,ɔk,入,冬毒,冬毒,冬毒,,,觼舌,
𤬂,𤬂,端,t̺,合,一,冬,沃,合一冬,ɔk,入,冬毒,冬毒,,,,瓠𤬂,
𥓍,𥓍,端,t̺,合,一,冬,沃,合一冬,ɔk,入,冬毒,冬毒,,,,𥓍矺玉篇云落石也,
裻,裻,端,t̺,合,一,冬,沃,合一冬,ɔk,入,冬毒,冬毒,,,,新衣聲又先篤切,
𡰪,𡰪,端,t̺,合,一,冬,沃,合一冬,ɔk,入,冬毒,冬毒,,,,凥𡰪俗,
酷,酷,溪,kʰ,合,一,冬,沃,合一冬,ɔk,入,苦沃,苦沃,苦沃,苦沃,,虐也說文曰酒味厚也苦沃切六,
焅,焅,溪,kʰ,合,一,冬,沃,合一冬,ɔk,入,苦沃,苦沃,苦沃,苦沃,,熱氣,
𥞴,𥞴,溪,kʰ,合,一,冬,沃,合一冬,ɔk,入,苦沃,苦沃,苦沃,苦沃,,禾熟,
嚳,嚳,溪,kʰ,合,一,冬,沃,合一冬,ɔk,入,苦沃,苦沃,苦沃,苦沃,,帝嚳高辛氏也說文曰急告之甚也,
硞,硞,溪,kʰ,合,一,冬,沃,合一冬,ɔk,入,苦沃,苦沃,,,,碌硞石狀,
𡷥,𡷥,溪,kʰ,合,一,冬,沃,合一冬,ɔk,入,苦沃,苦沃,苦沃,,,山皃,
鵠,鵠,匣,ˀɦ,合,一,冬,沃,合一冬,ɔk,入,胡沃,胡沃,胡沃,胡沃,,鳥名又姓姓苑云今東海人胡沃切八,
㿥,㿥,匣,ˀɦ,合,一,冬,沃,合一冬,ɔk,入,胡沃,胡沃,胡沃,胡沃,,鳥白也,
翯,翯,匣,ˀɦ,合,一,冬,沃,合一冬,ɔk,入,胡沃,胡沃,,,,鳥肥澤也詩云白鳥翯翯又音學,
隺,隺,匣,ˀɦ,合,一,冬,沃,合一冬,ɔk,入,胡沃,胡沃,胡沃,胡沃,沃,高也,
𤌍,𤌍,匣,ˀɦ,合,一,冬,沃,合一冬,ɔk,入,胡沃,胡沃,胡沃,胡沃,,灼也,
頶,頶,匣,ˀɦ,合,一,冬,沃,合一冬,ɔk,入,胡沃,胡沃,,,,鼻高皃,
𨴬,𨴬,匣,ˀɦ,合,一,冬,沃,合一冬,ɔk,入,胡沃,胡沃,,,,門聲,
礐,礐,匣,ˀɦ,合,一,冬,沃,合一冬,ɔk,入,胡沃,胡沃,,,,石礐,
僕,僕,並,ˀbʱ,合,一,冬,沃,合一冬,ɔk,入,蒲沃,蒲沃,蒲沃,蒲沃,屋,僮僕說文曰給事者也漢書曰太僕秦官掌輿馬亦姓風俗通云漢有渾梁侯僕多又虜複姓魏書僕蘭氏後改爲僕氏蒲沃切六,
䑑,䑑,並,ˀbʱ,合,一,冬,沃,合一冬,ɔk,入,蒲沃,蒲沃,,,,古文,僮僕說文曰給事者也漢書曰太僕秦官掌輿馬亦姓風俗通云漢有渾梁侯僕多又虜複姓魏書僕蘭氏後改爲僕氏蒲沃切六
鏷,鏷,並,ˀbʱ,合,一,冬,沃,合一冬,ɔk,入,蒲沃,蒲沃,蒲沃,蒲沃,,鏷𨬟矢名案左傳曰魯莊公以金僕姑射南宮長萬字不從金,
䗱,䗱,並,ˀbʱ,合,一,冬,沃,合一冬,ɔk,入,蒲沃,蒲沃,蒲沃,蒲沃,,䗱蠃又䗱𧐒蟲,
轐,轐,並,ˀbʱ,合,一,冬,沃,合一冬,ɔk,入,蒲沃,蒲沃,,,,車𨋩兔也,
䴆,䴆,並,ˀbʱ,合,一,冬,沃,合一冬,ɔk,入,蒲沃,蒲沃,,,,䴆𪇰,
洬,洬,心,s̺,合,一,冬,沃,合一冬,ɔk,入,先篤,先篤,先篤,先篤,,雨聲先篤切二,
裻,裻,心,s̺,合,一,冬,沃,合一冬,ɔk,入,先篤,先篤,先篤,先篤,,新衣聲,
梏,梏,見,k,合,一,冬,沃,合一冬,ɔk,入,古沃,古沃,古篤,古沃,,手械紂所作也古沃切九,
牿,牿,見,k,合,一,冬,沃,合一冬,ɔk,入,古沃,古沃,古篤,古沃,,牛馬牢也,
䧼,䧼,見,k,合,一,冬,沃,合一冬,ɔk,入,古沃,古沃,古篤,古沃,,鳱䧼鳥名似鵲,
䅵,䅵,見,k,合,一,冬,沃,合一冬,ɔk,入,古沃,古沃,古篤,古沃,,禾皮又地名,
告,告,見,k,合,一,冬,沃,合一冬,ɔk,入,古沃,古沃,古篤,古沃,幽/覺,又音誥告上曰告發下曰誥,
郜,郜,見,k,合,一,冬,沃,合一冬,ɔk,入,古沃,古沃,,,,國名又音誥,
祰,祰,見,k,合,一,冬,沃,合一冬,ɔk,入,古沃,古沃,,古沃,,說文云告祭也,
䧊,䧊,見,k,合,一,冬,沃,合一冬,ɔk,入,古沃,古沃,,,,說文云大阜也,
䶜,䶜,見,k,合,一,冬,沃,合一冬,ɔk,入,古沃,古沃,,,,治象牙也,
瑁,瑁,明,m̊,合,一,冬,沃,合一冬,ɔk,入,莫沃,莫沃,莫沃,莫沃,,瑇瑁莫沃切又莫代切五,
𣔺,𣔺,明,m̊,合,一,冬,沃,合一冬,ɔk,入,莫沃,莫沃,莫沃,莫沃,,門樞橫梁,
媢,媢,明,m̊,合,一,冬,沃,合一冬,ɔk,入,莫沃,莫沃,莫沃,,,夫妬婦,
艒,艒,明,m̊,合,一,冬,沃,合一冬,ɔk,入,莫沃,莫沃,,,,艒䑿船名,
萺,萺,明,m̊,合,一,冬,沃,合一冬,ɔk,入,莫沃,莫沃,,,,草也,
熇,熇,曉,h,合,一,冬,沃,合一冬,ɔk,入,火酷,火酷,火酷,火酷,,熱也火酷切四,
臛,臛,曉,h,合,一,冬,沃,合一冬,ɔk,入,火酷,火酷,火酷,火酷,,羹臛又音郝,
嚛,嚛,曉,h,合,一,冬,沃,合一冬,ɔk,入,火酷,火酷,火酷,火酷,,食新也,
歊,歊,曉,h,合,一,冬,沃,合一冬,ɔk,入,火酷,火酷,,,,氣出皃又音嚻,
褥,褥,泥,n̺̊,合,一,冬,沃,合一冬,ɔk,入,內沃,內沃,如沃,內沃,,小兒衣也內沃切又而蜀切四,
傉,傉,泥,n̺̊,合,一,冬,沃,合一冬,ɔk,入,內沃,內沃,,,,虜三字姓有庫傉官氏,
耨,耨,泥,n̺̊,合,一,冬,沃,合一冬,ɔk,入,內沃,內沃,,,,釋典云阿耨,
搙,搙,泥,n̺̊,合,一,冬,沃,合一冬,ɔk,入,內沃,內沃,,,,捻搙,
傶,傶,精,ts̺,合,一,冬,沃,合一冬,ɔk,入,將毒,將毒,將毒,將篤,,邑名又姓將毒切三,
𣪲,𣪻,精,ts̺,合,一,冬,沃,合一冬,ɔk,入,將毒,將毒,將毒,,,穿也,
錊,錊,精,ts̺,合,一,冬,沃,合一冬,ɔk,入,將毒,將毒,,,,姓也,
襮,襮,幫,p,合,一,冬,沃,合一冬,ɔk,入,博沃,博沃,,,,黼領博沃切三,
犦,犦,幫,p,合,一,冬,沃,合一冬,ɔk,入,博沃,博沃,,,,犎牛出合浦郡,
𪇰,𪇰,幫,p,合,一,冬,沃,合一冬,ɔk,入,博沃,博沃,,,,鵅烏𪇰水鳥名,
濼,濼,來,l̺,合,一,冬,沃,合一冬,ɔk,入,盧毒,盧毒,,,,水名在濟南盧毒切又力各切一,
𤛹,𤛹,疑,ŋ̊,合,一,冬,沃,合一冬,ɔk,入,五沃,五沃,,五沃,,白牛五沃切又音岳一,
燭,燭,章,tʃ,開,三,鍾,燭,開三鍾,ɶk,入,之欲,之欲,之欲,之欲,,燈燭也禮曰嫁女之家三日不息燭世本曰石季倫以蠟燭炊又姓左傳鄭大夫燭之武之欲切十三,
屬,屬,章,tʃ,開,三,鍾,燭,開三鍾,ɶk,入,之欲,之欲,之欲,之欲,屋,付也足也會也官眾也儕等也經典作屬又音蜀,
属,属,章,tʃ,開,三,鍾,燭,開三鍾,ɶk,入,之欲,之欲,,,,俗,付也足也會也官眾也儕等也經典作屬又音蜀
